file,role,mb,n_times,span,contents,artifact_id,version_id
stage1_pairs.npz,stage-1 training set (1 input channel),339.4,"2,184",2025-07-02 .. 2026-05-30,"X(2184, 1, 57, 116); Y(2184, 123, 127); B(2184, 123, 127); R(2184, 123, 127); lead_h(2184,); fold(2184,); valid(2184,); tlat(123, 127); tlon(123, 127); src_lat(57,); src_lon(116,)",72b75151-e20e-41e4-9e76-2b8625d57efb,f65202ba-04af-4b44-bc98-862c71ea6d4d
stage1_pairs_3ch.npz,"stage-1 training set (3ch, drop-in for stage-2 model)",340.7,"2,184",2025-07-02 .. 2026-05-30,"X(2184, 3, 57, 116); Y(2184, 123, 127); B(2184, 123, 127); R(2184, 123, 127); lead_h(2184,); fold(2184,); valid(2184,); tlat(123, 127); tlon(123, 127); src_lat(57,); src_lon(116,)",b670a37a-3d17-4683-b172-fb10ad6219ed,dd5e7e23-19eb-4a47-9d04-1bf4ffa23dc6
stage2_pairs.npz,stage-2 training set,622.7,"3,240",2025-07-02 .. 2026-05-30,"X(3240, 3, 57, 116); Y(3240, 123, 127); B(3240, 123, 127); R(3240, 123, 127); lead_h(3240,); fold(3240,); valid(3240,); init(3240,); tlat(123, 127); tlon(123, 127); src_lat(57,); src_lon(116,)",43ec7943-c098-4bd5-ad76-1a25e0cee285,8e97f736-b440-4a1f-b542-cae0f187e731
cerra_target.npz,"CERRA target, full 3-hourly series",82.2,"2,680",2025-07-01 .. 2026-05-31,"t2m(2680, 123, 127); time(2680,); tlat(123, 127); tlon(123, 127)",c0ff8670-22a8-429a-9176-a2a4db12fdfb,b70d89c2-260f-4298-9758-a693034334dc
cerra_static_target.npz,static surface fields on target grid,0.0,,,"orog(123, 127); lsm(123, 127)",83509303-4b32-4ed6-9ca5-5b2c02abc455,1a0cb4d5-96f2-4599-94e5-9c362cd63993
era5_aux.npz,auxiliary ERA5 predictors on input grid,187.1,"2,680",2025-07-01 .. 2026-05-31,"lake_ice_depth(2680, 57, 116); lake_mix_layer_temp_C(2680, 57, 116); lake_cover(2680, 57, 116); snow_depth(2680, 57, 116); skin_temp_C(2680, 57, 116); u10(2680, 57, 116); v10(2680, 57, 116); time(2680,); src_lat(57,); src_lon(116,)",31b36d7e-b979-4bd1-aba4-a6db54c50d99,d5ec05fa-9168-4195-9967-0c36d5bac163
aifs_overlap.npz,"raw AIFS extraction, pre-pairing",209.3,,,"cube(667, 6, 3, 57, 116); init_time(667,); lead_h(6,); field(3,)",37b14c22-bf97-4f4e-91c6-4dfb27b44e85,f3ee481b-f6d9-420e-92c0-85bb90036374
stations.parquet,"canonical station table (metadata, roles, folds, scores)",0.0,,,"299 rows x 21 cols: sid, name, country, lat, lon, elev, role, n_obs, first_obs...",79374a77-bfd4-4582-8ae7-0fc4085c2c79,37eda104-140c-4734-82fc-732ea9c7dd36
station_truth_synop.parquet,"station observations, PRIMARY truth 2025-26",1.6,"2,680",2025-07-01 .. 2026-05-31,"717,034 rows x 10 cols: wmo, time, t2m_obs, sid, name, country, role, lat, lon...",c8e2064d-3d50-4888-826d-9f14d8a21d0d,0f82e506-4d5f-446c-ad5b-eb9b5ab7e620
synop_fourway.parquet,obs + ERA5 + CERRA + AIFS paired per station-time-lead,8.8,668,2025-07-02 .. 2026-05-31,"304,550 rows x 15 cols: time, sid, t2m_aifs, aifs_sd, lead_h, t2m_obs, t2m_era5, t2m_cerra, resid_aifs...",01da4fb8-9c11-459a-adaa-abec98001954,10d6ee0a-d4b0-4637-bc42-ca28a83403e6
station_truth.parquet,station observations 2015-24 (ISD) - for stage-1 era,7.5,"29,104",2015-01-01 .. 2024-12-31,"2,185,758 rows x 4 cols: sid, time, t2m_obs, REPORT_TYPE",7a312ae5-9cd8-4c1a-a6a1-371609e73310,c960125b-d6ad-44d5-ba3d-d20ac1ffd6d3
station_truth_overlap.parquet,SUPERSEDED (truncated ISD),0.4,"1,886",2025-01-01 .. 2025-08-24,"149,597 rows x 4 cols: sid, time, t2m_obs, REPORT_TYPE",1347ee73-93b7-4f3c-823a-3c8e7e408ae0,d49d1b4e-6132-4f8c-b280-23e2442c70f8
station_truth_iem.parquet,"SUPERSEDED (METAR, not poolable with SYNOP)",0.1,"2,673",2025-07-01 .. 2026-05-31,"26,678 rows x 6 cols: sid, time, t2m_obs, offset_min, iem_id, country",79417800-2529-4388-9dcb-60ff8393ba39,d6baf3a8-7a08-4896-b656-df768a4d37a6
three_way.parquet,2020 obs+ERA5+CERRA station pairs,7.7,"2,926",2020-01-01 .. 2020-12-31,"212,268 rows x 15 cols: sid, time, t2m_obs, REPORT_TYPE, t2m_cerra, name, country, fold, offset_km...",6d692e3e-4321-449a-8107-8959dd8bafb3,0a73965e-6ce1-4937-82b5-a317566ca7b3
pairs.parquet,2020 obs+CERRA station pairs,3.1,"2,926",2020-01-01 .. 2020-12-31,"212,268 rows x 11 cols: sid, time, t2m_obs, REPORT_TYPE, t2m_cerra, name, country, fold, offset_km...",fd7e7807-be94-470c-ab64-5e4d06fd6979,0d95b72f-8598-4b9e-b01c-7f9e84060c89
esmf_inputs.npz,conservative-regridding test inputs,14.9,,,"c_lat(123, 127); c_lon(123, 127); c_lat_b(124, 128); c_lon_b(124, 128); e_lat(57,); e_lon(116,); e_lat_b(58,); e_lon_b(117,); cerra(300, 123, 127); era5(300, 57, 116); valid(300,); lsm(123, 127); orog(123, 127)",0d7eacda-0f60-4fc3-b4ae-008f10552ba7,5f831be8-cc22-4cac-979b-e662c72032bf
esmf_coarsened.npz,conservative-regridding outputs,8.3,,,"coarsened(300, 57, 116); coarsened_bilinear(300, 57, 116); era5(300, 57, 116); covered(57, 116); valid(300,)",ca5b86d9-a2a5-43f0-b5bb-88e5b83aa3ce,d85eed80-3b2e-43cd-a98d-1bab0f60d146
