authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,tracks,n_tracks,relevance_note
Zied Ben Bouallègue et al.,2024.0,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,10.1175/bams-d-23-0162.1,,159.0,False,AI models; Deep downscaling; Post-processing; Regional; Verification,5,"ECMWF's own first operational-like statistical assessment of ML forecasts (Ben Bouallegue et al., BAMS). The reference for how AI models behave in operations."
Stephan Rasp et al.,2018.0,Neural Networks for Postprocessing Ensemble Weather Forecasts,Monthly Weather Review,10.1175/mwr-d-18-0187.1,1805.09091,529.0,False,AI models; Deep downscaling; Post-processing; Verification,4,"Rasp & Lerch: distributional regression networks (DRN) for postprocessing ensembles — the workhorse baseline you should implement first. Highly cited, simple, runs on your hardware."
Stéphane Vannitsem et al.,2020.0,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World",Bulletin of the American Meteorological Society,10.1175/bams-d-19-0308.1,,198.0,False,AI models; Deep downscaling; Post-processing; Verification,4,"Vannitsem et al., BAMS: the standard review of statistical postprocessing. Read before choosing a method."
José Manuel Gutiérrez et al.,2018.0,An intercomparison of a large ensemble of statistical downscaling methods over Europe: Results from the VALUE perfect predictor cross‐validation experiment,International Journal of Climatology,10.1002/joc.5462,,332.0,False,Deep downscaling; Regional; Verification,3,"VALUE perfect-predictor cross-validation experiment: >50 downscaling methods, 86 European stations, all three families (PP, MOS, weather generators). The largest controlled intercomparison; note that its predictors are deliberately 'perfect' reanalysis."
Noah Brenowitz et al.,2025.0,A Practical Probabilistic Benchmark for AI Weather Models,Geophysical Research Letters,10.1029/2024gl113656,,23.0,False,AI models; Deep downscaling; Verification,3,"Brenowitz et al., practical probabilistic benchmark: shows EFFECTIVE RESOLUTION modulates ensemble dispersion — the link between blurring and under-dispersion."
Simon Lang et al.,2026.0,AIFS-CRPS: ensemble forecasting using a model trained with a loss function based on the continuous ranked probability score,npj Artificial Intelligence,10.1038/s44387-026-00073-7,,11.0,False,AI models; Deep downscaling; Post-processing,3,AIFS-CRPS journal version: 'almost fair CRPS' loss gives a directly-generative ensemble that beats IFS ENS on most variables/lead times. This is the AIFS ENS you would downscale.
Gabriel Moldovan et al.,2025.0,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv preprint,,2509.18994,0.0,True,AI models; Deep downscaling; Post-processing,3,"AIFS update: bounding layers for physical consistency, expanded variable set."
Tilmann Gneiting et al.,2007.0,"Strictly Proper Scoring Rules, Prediction, and Estimation",Journal of the American Statistical Association,10.1198/016214506000001437,,5659.0,False,Post-processing; Verification,2,Theory of proper scoring rules; why CRPS is the right training and verification target.
Tilmann Gneiting et al.,2007.0,"Probabilistic Forecasts, Calibration and Sharpness",Journal of the Royal Statistical Society Series B (Statistical Methodology),10.1111/j.1467-9868.2007.00587.x,,1788.0,False,Post-processing; Verification,2,Sharpness-subject-to-calibration paradigm; the evaluation philosophy behind all postprocessing benchmarks.
Kaifeng Bi et al.,2023.0,Accurate medium-range global weather forecasting with 3D neural networks,Nature,10.1038/s41586-023-06185-3,,1543.0,False,AI models; Deep downscaling,2,"Pangu-Weather primary (Nature). 3D Earth-Specific Transformer, 0.25deg, ~256M params, 43 yr ERA5; hierarchical temporal aggregation to limit error accumulation."
Ilan Price et al.,2024.0,Probabilistic weather forecasting with machine learning,Nature,10.1038/s41586-024-08252-9,,355.0,False,AI models; Deep downscaling,2,"GenCast primary (Nature). Diffusion ensemble, 0.25deg/12h, 15 days in 8 min; better than ENS on 97.2% of 1320 targets. The generative-ensemble reference point."
Jorge Baño‐Medina et al.,2020.0,Configuration and intercomparison of deep learning neural models for statistical downscaling,Geoscientific model development,10.5194/gmd-13-2109-2020,,266.0,False,Deep downscaling; Verification,2,"Benchmark CNN-vs-GLM intercomparison for downscaling over Europe inside the VALUE framework, using 'perfect' reanalysis predictors. The reference configuration study; read for how a defensible DL downscaling validation is set up."
José Manuel Gutiérrez et al.,2012.0,Reassessing Statistical Downscaling Techniques for Their Robust Application under Climate Change Conditions,Journal of Climate,10.1175/jcli-d-11-00687.1,,210.0,False,Deep downscaling; Verification,2,Reassessing statistical downscaling for robust application under changing conditions; the extrapolation-robustness question in its pre-DL form.
Peter Grönquist et al.,2021.0,Deep learning for post-processing ensemble weather forecasts,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rsta.2020.0092,,201.0,False,AI models; Post-processing,2,Groenquist et al.: deep learning for postprocessing ensemble forecasts.
Stephan Rasp et al.,2024.0,WeatherBench 2: A Benchmark for the Next Generation of Data‐Driven Global Weather Models,Journal of Advances in Modeling Earth Systems,10.1029/2023ms004019,,195.0,False,AI models; Verification,2,WeatherBench 2: the standard evaluation framework and baseline data. Read for metric definitions before you verify anything.
Yingkai Sha et al.,2020.0,Deep-Learning-Based Gridded Downscaling of Surface Meteorological Variables in Complex Terrain. Part I: Daily Maximum and Minimum 2-m Temperature,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-20-0057.1,,148.0,False,AI models; Deep downscaling,2,Sha et al.: deep-learning gridded downscaling of Tmax/Tmin in COMPLEX TERRAIN — the elevation/representativeness problem you already measured.
Massimo Bonavita,2024.0,On Some Limitations of Current Machine Learning Weather Prediction Models,Geophysical Research Letters,10.1029/2023gl107377,,136.0,False,AI models; Verification,2,"THE key defect paper (Bonavita, GRL 2024): Pangu/FourCastNet/GraphCast fail to reproduce sub-synoptic and mesoscale phenomena; lack physical consistency. This is the gap a downscaling layer fills."
Benedikt Schulz et al.,2021.0,Machine learning methods for postprocessing ensemble forecasts of wind gusts: A systematic comparison,Monthly Weather Review,10.1175/mwr-d-21-0150.1,2106.09512,111.0,False,Deep downscaling; Post-processing,2,"Systematic comparison of eight statistical and ML postprocessing methods for wind gusts (EMOS, member-by-member, isotonic distributional regression, gradient-boosted EMOS, quantile regression forests, distributional regression network, Bernstein quantile network, histogram estimation network). The benchmark ladder to reproduce before attempting anything generative."
Simon Lang et al.,2024.0,AIFS -- ECMWF's data-driven forecasting system,arXiv (Cornell University),,2406.01465,73.0,True,AI models; Post-processing,2,"PRIMARY AIFS paper. GNN encoder/decoder + sliding-window transformer, trained on ERA5 + operational analyses; run 4x daily, open data policy. Start here."
Andrew Charlton‐Perez et al.,2024.0,Do AI models produce better weather forecasts than physics-based models? A quantitative evaluation case study of Storm Ciarán,npj Climate and Atmospheric Science,10.1038/s41612-024-00638-w,,67.0,False,AI models; Deep downscaling,2,"Charlton-Perez et al., Storm Ciaran case study: AI models get synoptic structure right but the paper is the standard reference for what they miss at smaller scales."
Neelesh Rampal et al.,2024.0,Enhancing Regional Climate Downscaling through Advances in Machine Learning,Artificial Intelligence for the Earth Systems,10.1175/aies-d-23-0066.1,,63.0,False,AI models; Deep downscaling,2,Enhancing regional climate downscaling through advances in ML — bridges the climate-downscaling and NWP-postprocessing literatures.
Leonardo Olivetti et al.,2024.0,"Do data-driven models beat numerical models in forecasting weather extremes? A comparison of IFS HRES, Pangu-Weather, and GraphCast",Geoscientific model development,10.5194/gmd-17-7915-2024,,26.0,False,AI models; Regional,2,"Olivetti & Messori, GMD: data-driven models mostly beat IFS HRES on global RMSE at 1-10 d for near-surface T and wind extremes, but performance varies strongly by REGION and lead time — best near tropics, weaker elsewhere. Directly relevant to a high-latitude domain."
Olivier C. Pasche et al.,2024.0,Validating Deep Learning Weather Forecast Models on Recent High-Impact Extreme Events,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0033.1,,25.0,False,AI models; Regional,2,"Pasche et al., validation of DL forecasts on recent high-impact extremes — case-study-based defect evidence."
Jonathan Demaeyer et al.,2023.0,The EUPPBench postprocessing benchmark dataset v1.0,Earth system science data,10.5194/essd-15-2635-2023,,25.0,False,AI models; Post-processing,2,"EUPPBench: a European postprocessing BENCHMARK dataset — station-based, directly comparable in spirit to your ISD-Lite setup."
Kevin Höhlein et al.,2023.0,Postprocessing of Ensemble Weather Forecasts Using Permutation-Invariant Neural Networks,Artificial Intelligence for the Earth Systems,10.1175/aies-d-23-0070.1,2309.04452,18.0,False,Deep downscaling; Post-processing,2,"Permutation-invariant networks that consume the raw ensemble as an unordered set rather than summary statistics, for temperature and wind gusts. The right architecture for 51 exchangeable AIFS-ENS members."
Pengbo Xu et al.,2025.0,An artificial intelligence-based limited area model for forecasting of surface meteorological variables,Communications Earth & Environment,10.1038/s43247-025-02347-5,,12.0,False,AI models; Deep downscaling,2,Xu et al.: AI-based limited-area model specifically for SURFACE meteorological variables.
Neelesh Rampal et al.,2024.0,On the Extrapolation of Generative Adversarial Networks for Downscaling Precipitation Extremes in Warmer Climates,Geophysical Research Letters,10.1029/2024gl112492,,10.0,False,Deep downscaling; Verification,2,"Quantifies the generative-vs-deterministic gap for extremes under extrapolation: for 99.5th-percentile precipitation, a GAN trained on future climate recovered 97% of the warming-driven increase versus 65% for the deterministic CNN baseline, and a historically trained GAN still recovered 77%. The strongest single number for 'generative beats MSE on the tails'."
Ankur Mahesh et al.,2025.0,Huge ensembles – Part 1: Design of ensemble weather forecasts using spherical Fourier neural operators,Geoscientific model development,10.5194/gmd-18-5575-2025,,10.0,False,AI models; Deep downscaling,2,"Huge Ensembles (SFNO, 1.1B params): shows ML ensemble MEMBERS keep constant spectra with lead time while the ensemble MEAN degrades — the correct diagnostic framing for blurring."
Simon Lang et al.,2024.0,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (Cornell University),,2412.15832,9.0,True,AI models; Verification,2,arXiv preprint of AIFS-CRPS; fuller methods detail than the journal version in places.
M. J. Rodwell et al.,2025.0,Power Spectra of Physics‐Based and Data‐Driven Ensembles,Meteorological Applications,10.1002/met.70071,,2.0,False,AI models; Deep downscaling,2,"Rodwell et al., power spectra of physics-based vs data-driven ECMWF ensembles — the spectral diagnostic toolkit, incl. over-dispersion at synoptic scales in physics ensembles."
Hisu Kim et al.,2026.0,A spectral test of the butterfly effect and physical consistency in the diffusion-based GenCast’s ensembles,npj Climate and Atmospheric Science,10.1038/s41612-026-01380-1,,2.0,False,AI models; Deep downscaling,2,"Kim et al., spectral test of the butterfly effect and physical consistency in GenCast ensembles — how to test whether a generative ensemble perturbs realistically."
Belinda Trotta et al.,2025.0,Statistical Postprocessing Yields Accurate Probabilistic Forecasts from Artificial Intelligence Weather Models,Artificial Intelligence for the Earth Systems,10.1175/aies-d-25-0037.1,,1.0,False,AI models; Post-processing,2,"MOST IMPORTANT FOR YOU. Trotta et al.: applies an EXISTING NWP postprocessing system (IMPROVER) unchanged to AIFS; gets comparable gains to those on HRES/ENS, and blending AIFS with NWP beats either. Direct precedent for your project."
Dan Assouline et al.,2026.0,SwAIther-Precip: Lead-Time-Aware Bias Correction Enables Kilometer-Scale Downscaling of Global AI Precipitation Forecasts over Switzerland,arXiv preprint,,2605.16163,,True,AI models; Deep downscaling,2,SwAIther-Precip: lead-time-aware bias correction + generative super-resolution of AIFS precip to km scale over Switzerland. CRPS -48% vs raw AIFS; effective resolution ~4 km on a 1 km grid; training across lead times gives a further 13% CRPS gain at day 6. The closest existing analogue to your idea.
Joaquín Muñoz‐Sabater; Emanuel Dutra; Anna Agustí‐Panareda; Clément Albergel; Gabriele Arduini; Gianpaolo Balsamo et al.,2021.0,ERA5-Land: a state-of-the-art global reanalysis dataset for land applications,Earth system science data,10.5194/essd-13-4349-2021,,5007.0,False,Regional,1,"ERA5-Land: 9 km land reanalysis. Openly licensed, covers the box, and a plausible intermediate predictor field between ERA5 and station scale."
David R. Roberts et al.,2016.0,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Ecography,10.1111/ecog.02881,,2777.0,False,Verification,1,"The reference paper on blocked cross-validation for temporally, spatially and hierarchically structured data; where the block-CV design comes from."
Adrian E. Raftery et al.,2005.0,Using Bayesian Model Averaging to Calibrate Forecast Ensembles,Monthly Weather Review,10.1175/mwr2906.1,,1969.0,False,Post-processing,1,"BMA: predictive distribution as weighted mixture of member-conditioned kernels. Main alternative to EMOS; heavier to fit, rarely better for T2m."
Richard Cornes; Gerard van der Schrier; Else van den Besselaar; P. D. Jones,2018.0,An Ensemble Version of the E‐OBS Temperature and Precipitation Data Sets,Journal of Geophysical Research Atmospheres,10.1029/2017jd028200,,1913.0,False,Regional,1,"E-OBS ensemble version: European gridded daily temperature and precipitation from stations, with explicit uncertainty. Note its station density collapses east of the EU border."
Douglas Maraun et al.,2010.0,Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,Reviews of Geophysics,10.1029/2009rg000314,,1864.0,False,Deep downscaling,1,The foundational precipitation-downscaling review; where the PP / MOS / weather-generator taxonomy is laid out.
Hans Hersbach,2000.0,Decomposition of the Continuous Ranked Probability Score for Ensemble Prediction Systems,Weather and Forecasting,10.1175/1520-0434(2000)015<0559:dotcrp>2.0.co;2,,1603.0,False,Verification,1,CRPS decomposition into reliability and potential CRPS; the diagnostic split used throughout.
Nigel Roberts et al.,2008.0,Scale-Selective Verification of Rainfall Accumulations from High-Resolution Forecasts of Convective Events,Monthly Weather Review,10.1175/2007mwr2123.1,,1377.0,False,Verification,1,"Scale-selective verification: the FSS and skilful-scale concept, the standard neighbourhood answer to the double penalty."
Rémi Lam et al.,2023.0,Learning skillful medium-range global weather forecasting,Science,10.1126/science.adi2336,,1300.0,False,AI models,1,"GraphCast primary (Science). 0.25deg, 10-day, sub-minute inference; beats operational deterministic on 90% of 1380 targets. The GNN template AIFS descends from."
Tilmann Gneiting,2011.0,Making and Evaluating Point Forecasts,Journal of the American Statistical Association,10.1198/jasa.2011.r10138,,1198.0,False,Verification,1,Point forecasts require consistent scoring functions and a pre-declared functional; explains why 'RMSE or MAE?' is not a free choice.
Tilmann Gneiting et al.,2005.0,Calibrated Probabilistic Forecasting Using Ensemble Model Output Statistics and Minimum CRPS Estimation,Monthly Weather Review,10.1175/mwr2904.1,,1165.0,False,Post-processing,1,"EMOS / nonhomogeneous Gaussian regression. THE reference method for 2m temperature; single Gaussian with mean affine in members and variance affine in ensemble variance, fitted by minimum CRPS."
Harry R. Glahn et al.,1972.0,The Use of Model Output Statistics (MOS) in Objective Weather Forecasting,Journal of applied meteorology,10.1175/1520-0450(1972)011<1203:tuomos>2.0.co;2,,1102.0,False,Post-processing,1,Origin of MOS: regress observations on NWP output at station locations; defines the paradigm the whole field extends.
Suman Ravuri et al.,2021.0,Skilful precipitation nowcasting using deep generative models of radar,Nature,10.1038/s41586-021-03854-z,,959.0,False,Deep downscaling,1,Deep generative radar nowcasting; states explicitly that unconstrained deterministic deep learning produces blurry forecasts at longer lead times with poor performance on heavier rain. The clearest published statement of the MSE-blurring failure mode.
Thomas M. Hamill,2001.0,Interpretation of Rank Histograms for Verifying Ensemble Forecasts,Monthly Weather Review,10.1175/1520-0493(2001)129<0550:iorhfv>2.0.co;2,,927.0,False,Verification,1,"Rank histograms: how to read them and, importantly, how they mislead when errors are correlated or conditionally biased."
Daniel S. Wilks,2016.0,"“The Stippling Shows Statistically Significant Grid Points”: How Research Results are Routinely Overstated and Overinterpreted, and What to Do about It",Bulletin of the American Meteorological Society,10.1175/bams-d-15-00267.1,,925.0,False,Verification,1,"Why grid-point-wise significance stippling overstates results, and the false-discovery-rate fix. Directly applicable to per-station significance across 144 stations."
Tilmann Gneiting et al.,2014.0,Probabilistic Forecasting,Annual Review of Statistics and Its Application,10.1146/annurev-statistics-062713-085831,,900.0,False,Verification,1,"Review of probabilistic forecasting; consolidates propriety, calibration modes, and evaluation tooling."
Sayash Kapoor et al.,2023.0,Leakage and the reproducibility crisis in machine-learning-based science,Patterns,10.1016/j.patter.2023.100804,,855.0,False,Verification,1,Leakage in ML-based science: a taxonomy of leakage types and a reproducibility checklist.
Allan H. Murphy,1993.0,What Is a Good Forecast? An Essay on the Nature of Goodness in Weather Forecasting,Weather and Forecasting,10.1175/1520-0434(1993)008<0281:wiagfa>2.0.co;2,,851.0,False,Verification,1,"Murphy's three types of goodness: consistency, quality, value. Frames why a single score is never enough."
Douglas Maraun,2013.0,"Bias Correction, Quantile Mapping, and Downscaling: Revisiting the Inflation Issue",Journal of Climate,10.1175/jcli-d-12-00821.1,,771.0,False,Deep downscaling,1,"The inflation paper: why regression-based downscaling and quantile mapping cannot simultaneously get the conditional mean and the variance right, and why inflating variance corrupts the deterministic signal. The core theoretical statement behind 'MSE-trained models under-represent small-scale variance'."
Pierre Ploton et al.,2020.0,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Nature Communications,10.1038/s41467-020-18321-y,,766.0,False,Verification,1,Documented case of over-optimistic skill from spatial autocorrelation in a high-profile ML application.
Patrick Schratz et al.,2019.0,Hyperparameter tuning and performance assessment of statistical and machine-learning algorithms using spatial data,Ecological Modelling,10.1016/j.ecolmodel.2019.06.002,,604.0,False,Verification,1,"Hyperparameter tuning and performance assessment for spatial data: shows the tuning loop itself must be inside the spatial CV, not outside it."
Douglas Maraun et al.,2017.0,Statistical Downscaling and Bias Correction for Climate Research,Cambridge University Press eBooks,10.1017/9781107588783,,554.0,False,Verification,1,"The reference text on statistical downscaling and bias correction, including its validation chapter and the inflation/variance problems."
A.A.M. Holtslag; Gunilla Svensson; Peter Baas; Sukanta Basu; Bob Beare; Anton Beljaars et al.,2013.0,Stable Atmospheric Boundary Layers and Diurnal Cycles: Challenges for Weather and Climate Models,Bulletin of the American Meteorological Society,10.1175/bams-d-11-00187.1,,522.0,False,Regional,1,GABLS/Holtslag et al.: stable boundary layers and diurnal cycles as a challenge for weather and climate models - the community review.
Francis X. Diebold,2015.0,"Comparing Predictive Accuracy, Twenty Years Later: A Personal Perspective on the Use and Abuse of Diebold–Mariano Tests",Journal of Business and Economic Statistics,10.1080/07350015.2014.983236,,502.0,False,Verification,1,Retrospective on the Diebold-Mariano test: how to compare predictive accuracy with autocorrelated loss differentials.
James M. Murphy,1999.0,An Evaluation of Statistical and Dynamical Techniques for Downscaling Local Climate,Journal of Climate,10.1175/1520-0442(1999)012<2256:aeosad>2.0.co;2,,494.0,False,Regional,1,Murphy: statistical vs dynamical downscaling evaluation - the founding comparison that frames why statistical methods remain competitive.
Elizabeth E. Ebert,2008.0,Fuzzy verification of high‐resolution gridded forecasts: a review and proposed framework,Meteorological Applications,10.1002/met.25,,488.0,False,Verification,1,Fuzzy/neighbourhood verification of high-resolution gridded forecasts: the review that systematised the neighbourhood family and proposed a framework.
Eric Gilleland et al.,2009.0,Intercomparison of Spatial Forecast Verification Methods,Weather and Forecasting,10.1175/2009waf2222269.1,,469.0,False,Verification,1,ICP overview paper: the spatial verification method intercomparison project and its findings.
Jaideep Pathak et al.,2022.0,FourCastNet: A Global Data-driven High-resolution Weather Model using Adaptive Fourier Neural Operators,arXiv (Cornell University),,2202.11214,453.0,True,AI models,1,"FourCastNet primary preprint: adaptive Fourier neural operator, 0.25deg, week-long forecast in <2 s — the cheap-large-ensemble argument."
Hanna Meyer et al.,2021.0,Predicting into unknown space? Estimating the area of applicability of spatial prediction models,Methods in Ecology and Evolution,10.1111/2041-210x.13650,,446.0,False,Verification,1,"Area of applicability: a method for delineating where a spatial model can be trusted, i.e. whether a station-trained model can be applied to a new location at all."
Vítor Cerqueira et al.,2020.0,Evaluating time series forecasting models: an empirical study on performance estimation methods,Machine Learning,10.1007/s10994-020-05910-7,,425.0,False,Verification,1,Empirical comparison of performance-estimation methods for time series; blocked and forward-chaining schemes versus naive k-fold.
Dmitrii Kochkov et al.,2024.0,Neural general circulation models for weather and climate,Nature,10.1038/s41586-024-07744-y,,384.0,False,AI models,1,NeuralGCM primary (Nature). Hybrid differentiable dynamical core + learned physics; stable multi-decade climate runs at 140 km.
