theme,authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,is_retracted,n_authors,relevance_note
architectures,Ewan Pinnington et al.,2026,AIFS-DOP: End-to-End Medium-Range Weather Prediction from Observations Alone with Machine Learning,arXiv preprint,,2606.19093,,yes,no,11,"AIFS-DOP: trained on gridded OBSERVATIONS alone, no reanalysis — directly relevant to your finding that ERA5 assimilates your stations."
architectures,Jakob Schloer et al.,2026,AIFS-SUBS: Extending Data-Driven Forecasting to Sub-Seasonal Timescales,arXiv preprint,,2607.05100,,yes,no,9,"AIFS-SUBS: sub-seasonal AIFS, weeks 2-6, ~200x less inference energy than IFS. Shows the AIFS family is expanding into your lead-time range."
architectures,Paula Harder et al.,2026,AIFS-COMPO: A Global Data-Driven Atmospheric Composition Forecasting System,arXiv preprint,,2604.03300,,yes,no,6,AIFS-COMPO atmospheric composition — evidence of the modular Anemoi/AIFS ecosystem you could build on.
architectures,Sara Hahner et al.,2026,Representing the Surface Ocean in ECMWF's data-driven forecasting system AIFS,arXiv preprint,,2604.25559,,yes,no,25,AIFS ocean/wave/sea-ice coupling — matters for the Baltic/Barents/White Sea part of your box.
architectures,Simon Lang et al.,2026,AIFS-CRPS: ensemble forecasting using a model trained with a loss function based on the continuous ranked probability score,npj Artificial Intelligence,10.1038/s44387-026-00073-7,,11,no,no,18,AIFS-CRPS journal version: 'almost fair CRPS' loss gives a directly-generative ensemble that beats IFS ENS on most variables/lead times. This is the AIFS ENS you would downscale.
architectures,Ankur Mahesh et al.,2025,Huge ensembles – Part 1: Design of ensemble weather forecasts using spherical Fourier neural operators,Geoscientific model development,10.5194/gmd-18-5575-2025,,10,no,no,16,"Huge Ensembles (SFNO, 1.1B params): shows ML ensemble MEMBERS keep constant spectra with lead time while the ensemble MEAN degrades — the correct diagnostic framing for blurring."
architectures,Boris Bonev et al.,2025,FourCastNet 3: A geometric approach to probabilistic machine-learning weather forecasting at scale,arXiv (Cornell University),,2507.12144,3,yes,no,10,"FourCastNet 3: probabilistic, well-calibrated, RETAINS REALISTIC SPECTRA to 60 days; 60-day 0.25deg forecast in <4 min on one GPU. The counter-example to 'AI models must blur'."
architectures,Gabriel Moldovan et al.,2025,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv preprint,,2509.18994,,yes,no,21,"AIFS Single update: physical-consistency bounding layers, expanded variables; states AIFS fully operational at ECMWF since 25 Feb 2025. Essential for knowing which AIFS version you are downloading."
architectures,Xiaohui Zhong et al.,2025,FuXi-ENS: A machine learning model for efficient and accurate ensemble weather prediction,Science Advances,10.1126/sciadv.adu2854,,10,no,no,12,"FuXi-ENS: CRPS-trained ensemble, an independent line to AIFS-CRPS."
architectures,Dmitrii Kochkov et al.,2024,Neural general circulation models for weather and climate,Nature,10.1038/s41586-024-07744-y,,384,no,no,16,NeuralGCM primary (Nature). Hybrid differentiable dynamical core + learned physics; stable multi-decade climate runs at 140 km.
architectures,Ilan Price et al.,2024,Probabilistic weather forecasting with machine learning,Nature,10.1038/s41586-024-08252-9,,355,no,no,12,"GenCast primary (Nature). Diffusion ensemble, 0.25deg/12h, 15 days in 8 min; better than ENS on 97.2% of 1320 targets. The generative-ensemble reference point."
architectures,Simon Lang et al.,2024,AIFS -- ECMWF's data-driven forecasting system,arXiv (Cornell University),,2406.01465,73,yes,no,16,"PRIMARY AIFS paper. GNN encoder/decoder + sliding-window transformer, trained on ERA5 + operational analyses; run 4x daily, open data policy. Start here."
architectures,Simon Lang et al.,2024,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (Cornell University),,2412.15832,9,yes,no,18,arXiv preprint of AIFS-CRPS; fuller methods detail than the journal version in places.
architectures,Stephan Rasp et al.,2024,WeatherBench 2: A Benchmark for the Next Generation of Data‐Driven Global Weather Models,Journal of Advances in Modeling Earth Systems,10.1029/2023ms004019,,195,no,no,18,WeatherBench 2: the standard evaluation framework and baseline data. Read for metric definitions before you verify anything.
architectures,Ilan Price et al.,2023,GenCast: Diffusion-based ensemble forecasting for medium-range weather,arXiv (Cornell University),,2312.15796,63,yes,no,12,GenCast preprint.
architectures,Kaifeng Bi et al.,2023,Accurate medium-range global weather forecasting with 3D neural networks,Nature,10.1038/s41586-023-06185-3,,1543,no,no,6,"Pangu-Weather primary (Nature). 3D Earth-Specific Transformer, 0.25deg, ~256M params, 43 yr ERA5; hierarchical temporal aggregation to limit error accumulation."
architectures,Rémi Lam et al.,2023,Learning skillful medium-range global weather forecasting,Science,10.1126/science.adi2336,,1300,no,no,18,"GraphCast primary (Science). 0.25deg, 10-day, sub-minute inference; beats operational deterministic on 90% of 1380 targets. The GNN template AIFS descends from."
architectures,Jaideep Pathak et al.,2022,FourCastNet: A Global Data-driven High-resolution Weather Model using Adaptive Fourier Neural Operators,arXiv (Cornell University),,2202.11214,453,yes,no,13,"FourCastNet primary preprint: adaptive Fourier neural operator, 0.25deg, week-long forecast in <2 s — the cheap-large-ensemble argument."
architectures,Kaifeng Bi et al.,2022,Pangu-Weather: A 3D High-Resolution Model for Fast and Accurate Global Weather Forecast,arXiv preprint,,2211.02556,,yes,no,6,Pangu preprint; more architecture detail on 3DEST and the greedy multi-timestep scheme.
architectures,Rémi Lam et al.,2022,GraphCast: Learning skillful medium-range global weather forecasting,arXiv (Cornell University),,2212.12794,171,yes,no,18,GraphCast preprint version.
error_modes,Amy McGovern et al.,2026,Extreme Weather Bench: A framework and benchmark for evaluation of high-impact weather,arXiv preprint,,2605.01126,,yes,no,9,Extreme Weather Bench: community benchmark for high-impact weather; the verification framework to adopt rather than invent.
error_modes,Hisu Kim et al.,2026,A spectral test of the butterfly effect and physical consistency in the diffusion-based GenCast’s ensembles,npj Climate and Atmospheric Science,10.1038/s41612-026-01380-1,,2,no,no,6,"Kim et al., spectral test of the butterfly effect and physical consistency in GenCast ensembles — how to test whether a generative ensemble perturbs realistically."
error_modes,Jacob Landsberg et al.,2026,Forecasting the Future With Yesterday's Climate: Temperature Bias in AI Weather and Climate Models,Geophysical Research Letters,10.1029/2025GL119740,2509.22359,1,no,no,2,"Landsberg et al.: AI models are COLD-BIASED, resembling climates 15-20 yr earlier than the predicted period; cold bias strongest at hottest temperatures. A trained-on-history artefact your bias correction would inherit."
error_modes,Jochen Bröcker et al.,2026,"Verification of AI–based environmental forecasting systems: What can we do, what do we need to do, and what are the challenges?",Journal of the European Meteorological Society.,10.1016/j.jemets.2026.100032,,2,no,no,7,"Broecker et al., what verification of AI-based forecasting systems needs — methodological guardrails for your own evaluation."
error_modes,Marvin Vincent Gabler et al.,2026,Do AI weather models miss extremes?,arXiv preprint,,2608.09972,,yes,no,8,"Gabler et al., station-based (not reanalysis-based) extremes verification of 11 systems over Europe, 10 months. AIFS loses 4.9+/-2.0% in the heat tail; ALL models incl. NWP show a shared conditional bias toward the distribution centre. The single most relevant error-mode paper for station-based work."
error_modes,Somnath Luitel et al.,2026,GraphCast Skill and Systematic Biases in Indian Summer Monsoon Forecasts: Evaluation Against ERA5 and IMERG,arXiv preprint,,2607.11905,,yes,no,5,"GraphCast Indian monsoon evaluation: regional power-spectrum variance ratio 0.14 vs IMERG, compressed rainfall intensity distribution — a clean quantification of deterministic smoothing."
error_modes,Zhongwei Zhang et al.,2026,Physics-based models outperform AI weather forecasts of record-breaking extremes,Science Advances,10.1126/sciadv.aec1433,,3,no,no,4,"Zhang et al., Sci Adv 2026: for RECORD-BREAKING extremes HRES still beats GraphCast/Pangu/FuXi; AI models underestimate frequency and intensity of records, underpredict hot records, overpredict cold records, errors grow with exceedance."
error_modes,Laura Slivinski et al.,2025,Assimilating Observed Surface Pressure Into ML Weather Prediction Models,Geophysical Research Letters,10.1029/2024gl114396,,14,no,no,5,Slivinski et al.: assimilating surface pressure into ML models produces noise needing spectral filtering — evidence that ML models are not robust to off-manifold inputs.
