doi,arxiv_id,authors,year,title,venue,cited_by_count,is_preprint,relevance_note
10.1029/2009rg000314,,Douglas Maraun et al.,2010,Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,Reviews of Geophysics,1864.0,False,The foundational precipitation-downscaling review; where the PP / MOS / weather-generator taxonomy is laid out.
10.1175/jcli-d-11-00251.1,,Swen Brands et al.,2011,On the Use of Reanalysis Data for Downscaling,Journal of Climate,109.0,False,"'On the Use of Reanalysis Data for Downscaling' — the canonical entry point on reanalysis-as-predictor-source. NOTE: abstract not retrievable, cited at title level."
10.1175/jcli-d-11-00254.1,,Jonathan Eden et al.,2012,"Skill, Correction, and Downscaling of GCM-Simulated Precipitation",Journal of Climate,201.0,False,"Skill, correction and downscaling of GCM-simulated precipitation; a standard reference on when correction is and is not legitimate. NOTE: abstract not retrievable, cited at title level."
10.1175/jcli-d-11-00687.1,,José Manuel Gutiérrez et al.,2012,Reassessing Statistical Downscaling Techniques for Their Robust Application under Climate Change Conditions,Journal of Climate,210.0,False,Reassessing statistical downscaling for robust application under changing conditions; the extrapolation-robustness question in its pre-DL form.
10.1175/jcli-d-12-00821.1,,Douglas Maraun,2013,"Bias Correction, Quantile Mapping, and Downscaling: Revisiting the Inflation Issue",Journal of Climate,771.0,False,"The inflation paper: why regression-based downscaling and quantile mapping cannot simultaneously get the conditional mean and the variance right, and why inflating variance corrupts the deterministic signal. The core theoretical statement behind 'MSE-trained models under-represent small-scale variance'."
10.1175/jcli-d-13-00604.1,,Geraldine Wong et al.,2014,Stochastic Model Output Statistics for Bias Correcting and Downscaling Precipitation Including Extremes,Journal of Climate,71.0,False,Stochastic model output statistics for bias correction and downscaling including extremes; the stochastic-MOS template.
10.1145/3097983.3098004,,Thomas Vandal et al.,2017,DeepSD,,274.0,False,"Origin point for CNN super-resolution downscaling (DeepSD, stacked SRCNN). Historical anchor only; superseded methodologically."
10.1002/joc.5462,,José Manuel Gutiérrez et al.,2018,An intercomparison of a large ensemble of statistical downscaling methods over Europe: Results from the VALUE perfect predictor cross‐validation experiment,International Journal of Climatology,332.0,False,"VALUE perfect-predictor cross-validation experiment: >50 downscaling methods, 86 European stations, all three families (PP, MOS, weather generators). The largest controlled intercomparison; note that its predictors are deliberately 'perfect' reanalysis."
10.1002/joc.5877,,Douglas Maraun et al.,2018,Statistical downscaling skill under present climate conditions: A synthesis of the VALUE perfect predictor experiment,International Journal of Climatology,97.0,False,"CRITICAL for framing. Synthesis of the VALUE perfect-predictor experiment. States that MOS needs predictors near the target resolution, that PP skill depends crucially on model structure and predictor choice, that inter-annual variability is under-represented by both PP methods and weather generators, and that spatial variability is poorly represented by almost all methods."
10.5194/hess-22-4867-2018,,Douglas Maraun et al.,2018,Cross-validation of bias-corrected climate simulations is misleading,Hydrology and earth system sciences,61.0,False,"Cross-validation of bias-corrected free-running simulations is misleading: the residual bias in the validation period depends on the difference in change between calibration and validation periods, which is dominated by internal variability. Directly relevant to interpreting held-out-period scores."
10.1175/mwr-d-18-0187.1,,Stephan Rasp et al.,2018,Neural Networks for Postprocessing Ensemble Weather Forecasts,Monthly Weather Review,529.0,False,"MOST DIRECTLY USABLE. Neural-network distributional regression postprocessing of 2-m temperature at surface STATIONS in Germany, using station embeddings and auxiliary predictors; beats benchmark postprocessing and is explicitly cheaper computationally. This is the method class that fits the user's data and hardware."
