doi,arxiv_id,authors,year,title,venue,cited_by_count,is_preprint,relevance_note
10.1175/1520-0434(1993)008<0281:wiagfa>2.0.co;2,,Allan H. Murphy,1993,What Is a Good Forecast? An Essay on the Nature of Goodness in Weather Forecasting,Weather and Forecasting,851,no,"Murphy's three types of goodness: consistency, quality, value. Frames why a single score is never enough."
10.21957/dx25q07hu,,Pertti Nurmi,1994,Recommendations on the verification of local weather forecasts,European Centre for Medium-Range Weather Forecasts,88,no,Nurmi's classic ECMWF recommendations on verifying local (station) forecasts; still the most directly applicable checklist for a station-based study.
10.1175/1520-0434(1997)012<0736:rdfmpf>2.0.co;2,,Thomas M. Hamill,1997,Reliability Diagrams for Multicategory Probabilistic Forecasts,Weather and Forecasting,105,no,Reliability diagrams for multicategory probabilistic forecasts.
10.1175/1520-0493(1998)126<3292:trbesa>2.0.co;2,,Jeffrey S. Whitaker et al.,1998,The Relationship between Ensemble Spread and Ensemble Mean Skill,Monthly Weather Review,240,no,"Original spread-skill relationship: spread predicts skill only in a distributional sense, not case by case."
10.1175/1520-0493(1998)126<2503:ioesoe>2.0.co;2,,Roberto Buizza et al.,1998,Impact of Ensemble Size on Ensemble Prediction,Monthly Weather Review,206,no,"Impact of ensemble size on ensemble prediction: the classic demonstration that skill saturates with M, and that small ensembles systematically underperform."
10.1175/1520-0434(2000)015<0559:dotcrp>2.0.co;2,,Hans Hersbach,2000,Decomposition of the Continuous Ranked Probability Score for Ensemble Prediction Systems,Weather and Forecasting,1603,no,CRPS decomposition into reliability and potential CRPS; the diagnostic split used throughout.
10.1016/s0304-4076(00)00030-0,,Jeffrey S. Racine,2000,Consistent cross-validatory model-selection for dependent data: hv-block cross-validation,Journal of Econometrics,207,no,"Consistent cross-validatory model selection for dependent data: hv-block CV, the formal basis for leaving gaps around held-out blocks in serially correlated data."
10.1175/1520-0493(2001)129<0550:iorhfv>2.0.co;2,,Thomas M. Hamill,2001,Interpretation of Rank Histograms for Verifying Ensemble Forecasts,Monthly Weather Review,927,no,"Rank histograms: how to read them and, importantly, how they mislead when errors are correlated or conditionally biased."
10.1175/1520-0434(2003)018<0918:sopfss>2.0.co;2,,Christophe Accadia et al.,2003,Sensitivity of Precipitation Forecast Skill Scores to Bilinear Interpolation and a Simple Nearest-Neighbor Average Method on High-Resolution Verification Grids,Weather and Forecasting,257,no,Interpolation choice alone changes precipitation skill scores on high-resolution verification grids.
10.1175/1520-0493(2004)132<1891:oucaar>2.0.co;2,,Simon J. Mason,2004,On Using “Climatology” as a Reference Strategy in the Brier and Ranked Probability Skill Scores,Monthly Weather Review,150,no,Why 'climatology' as a reference in skill scores is ambiguous and how the choice changes the verdict.
10.1175/1520-0493(2004)132<1487:eooeot>2.0.co;2,,Øyvind Sætra et al.,2004,Effects of Observation Errors on the Statistics for Ensemble Spread and Reliability,Monthly Weather Review,102,no,Observation error inflates apparent underdispersion; you must add observation-error variance before declaring an ensemble underspread.
10.1256/qj.04.71,,G. Candille et al.,2005,Evaluation of probabilistic prediction systems for a scalar variable,Quarterly Journal of the Royal Meteorological Society,309,no,"Systematic framework for evaluating scalar probabilistic prediction: reliability, resolution, and observation error."
10.1256/qj.06.25,,Thomas M. Hamill et al.,2006,Measuring forecast skill: is it real skill or is it the varying climatology?,Quarterly Journal of the Royal Meteorological Society,271,no,"Skill scores against a pooled climatology are inflated purely by spatial or seasonal variation in the climatology itself. Critical for a 144-station, 55-70N domain: pool stations and you will manufacture skill."
10.1175/waf1034.1,,Christopher A. T. Ferro,2007,Comparing Probabilistic Forecasting Systems with the Brier Score,Weather and Forecasting,103,no,"Comparing forecasting systems with the Brier score, including sampling uncertainty."
