theme,first_author,year,title,venue,doi,cited_by,oa_status,type,retracted,authors,relevance
A_reanalysis_verification,James M. Murphy,1999.0,An Evaluation of Statistical and Dynamical Techniques for Downscaling Local Climate,Journal of Climate,10.1175/1520-0442(1999)012<2256:aeosad>2.0.co;2,494,bronze,article,False,James M. Murphy,Murphy: statistical vs dynamical downscaling evaluation - the founding comparison that frames why statistical methods remain competitive.
A_reanalysis_verification,Martin Göber,2008.0,Could a perfect model ever satisfy a naïve forecaster? On grid box mean versus point verification,Meteorological Applications,10.1002/met.78,39,bronze,article,False,Martin Göber; Ervin Zsótér; David Richardson,Grid box mean vs point verification: a PERFECT model scores badly against point observations; error from wrong-kind verification is of order the forecast error itself. Directly frames the 1.31 K ERA5 floor already measured.
A_reanalysis_verification,Peter F. Sheridan,2010.0,A simple height-based correction for temperature downscaling in complex terrain,Meteorological Applications,10.1002/met.177,73,bronze,article,False,Peter F. Sheridan; Samantha Smith; A. R. Brown; Simon Vosper,"Simple height-based temperature downscaling in complex terrain - the minimal baseline any station correction must beat, relevant to the -128 to +72 m station-vs-orography spread."
A_reanalysis_verification,Evgeny Atlaskin,2012.0,Evaluation of NWP results for wintertime nocturnal boundary‐layer temperatures over Europe and Finland,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.1885,80,closed,article,False,Evgeny Atlaskin; Timo Vihma,Atlaskin & Vihma: NWP wintertime nocturnal boundary-layer temperature errors over Europe and Finland. The canonical statement of the stable-BL cold-bias problem at these latitudes.
A_reanalysis_verification,Irina Sandu,2013.0,Why is it so difficult to represent stably stratified conditions in numerical weather prediction (NWP) models?,Journal of Advances in Modeling Earth Systems,10.1002/jame.20013,279,gold,article,False,Irina Sandu; Anton Beljaars; Peter Bechtold; Thorsten Mauritsen; Gianpaolo Balsamo,Sandu et al.: why stably stratified conditions are so hard in NWP. Physical explanation of the error structure a post-processor would be learning to correct.
A_reanalysis_verification,A.A.M. Holtslag,2013.0,Stable Atmospheric Boundary Layers and Diurnal Cycles: Challenges for Weather and Climate Models,Bulletin of the American Meteorological Society,10.1175/bams-d-11-00187.1,522,bronze,article,False,A.A.M. Holtslag; Gunilla Svensson; Peter Baas; Sukanta Basu; Bob Beare; Anton Beljaars et al.,GABLS/Holtslag et al.: stable boundary layers and diurnal cycles as a challenge for weather and climate models - the community review.
A_reanalysis_verification,Nils Gustafsson,2017.0,Survey of data assimilation methods for convective‐scale numerical weather prediction at operational centres,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3179,341,hybrid,article,False,Nils Gustafsson; Tijana Janjić; Christoph Schraff; Daniel Leuenberger; Martin Weißmann; Hendrik Reich et al.,Survey of data assimilation methods for convective-scale NWP at operational centres - context for why regional analyses differ from global.
A_reanalysis_verification,Malte Müller,2017.0,Characteristics of a Convective-Scale Weather Forecasting System for the European Arctic,Monthly Weather Review,10.1175/mwr-d-17-0194.1,101,closed,article,False,Malte Müller; Yurii Batrak; Jørn Kristiansen; Morten A. Ø. Køltzow; Gunnar Noer; Anton Korosov,AROME-Arctic: characteristics of a convection-permitting forecasting system for the European Arctic.
A_reanalysis_verification,José Manuel Gutiérrez,2018.0,An intercomparison of a large ensemble of statistical downscaling methods over Europe: Results from the VALUE perfect predictor cross‐validation experiment,International Journal of Climatology,10.1002/joc.5462,332,green,article,False,José Manuel Gutiérrez; Douglas Maraun; Martin Widmann; Radan Huth; Elke Hertig; Rasmus Benestad et al.,VALUE: intercomparison of a large ensemble of statistical downscaling methods over Europe under perfect-predictor conditions. The reference experimental design for method comparison.
A_reanalysis_verification,Andrea K. Kaiser-Weiss,2019.0,Added value of regional reanalyses for climatological applications,Environmental Research Communications,10.1088/2515-7620/ab2ec3,65,gold,article,False,Andrea K. Kaiser-Weiss; Michael Borsche; Deborah Niermann; Frank Kaspar; Cristian Lussana; Francesco Isotta et al.,"UERRA project synthesis: added value of regional reanalyses for climatology, and the uncertainty spread between three independent regional reanalysis systems."
