lead_h,field,n,bias,rmse,mae
0,control,6644,-0.10555211961951196,1.2410813107806649,0.8962034242724454
0,ens_mean,6644,-0.11316802563882522,1.2400909193079737,0.8961734868025925
24,control,6624,-0.18985389050654175,1.7258338057378917,1.2665959222305223
24,ens_mean,6624,-0.20516525024426752,1.4916657280391878,1.094186165660993
48,control,6604,-0.21287187036783467,1.9502016137959919,1.419585225078137
48,ens_mean,6604,-0.22549302633739748,1.6506210074879417,1.2190116217071567
72,control,6585,-0.23026377475886253,2.1884143501207967,1.6054879318156203
72,ens_mean,6585,-0.2456724118399268,1.8490959918750203,1.3767094440735952
120,control,6545,-0.24904849968218828,3.052782424196098,2.24091404739275
120,ens_mean,6545,-0.3288691671687327,2.443220099433481,1.8391206980356118
168,control,6505,-0.5232955029522063,4.114309466450942,3.015922857192184
168,ens_mean,6505,-0.4170369405064716,3.1089587304776525,2.364788403096661
