lead_h,source,n,bias,rmse
0,aifs,6644,-0.11316802563882522,1.2400909193079737
0,era5,6644,-0.02594323476921146,1.2805276995809782
0,cerra,6644,-0.1872534754762874,1.0586140649945284
24,aifs,6624,-0.20516525024426752,1.4916657280391878
24,era5,6624,-0.02548479918696459,1.2796524593340428
24,cerra,6624,-0.18892049098360372,1.058086533641671
48,aifs,6604,-0.22549302633739748,1.6506210074879417
48,era5,6604,-0.023092125488872798,1.2789450588093803
48,cerra,6604,-0.18864357276514476,1.0560222629341307
72,aifs,6585,-0.2456724118399268,1.8490959918750203
72,era5,6585,-0.02286021957455396,1.2800109732657605
72,cerra,6585,-0.18886864270418097,1.0565408819279032
120,aifs,6545,-0.3288691671687327,2.443220099433481
120,era5,6545,-0.023145295937977508,1.2805275772646119
120,cerra,6545,-0.189596205580954,1.0565638581320171
168,aifs,6505,-0.4170369405064716,3.1089587304776525
168,era5,6505,-0.023204487383503117,1.2823641735716218
168,cerra,6505,-0.19100888814493666,1.0575815358081018
