USAF,WBAN,name,country,lat,lon,elev,BEGIN,END,in_target,role,in_original_144
266590,99999,LEPEL,Belarus,54.883,28.7,174.0,1959-01-01,2025-08-24,False,input_crop_only,False
266530,99999,POLOTSK,Belarus,55.467,28.767,133.0,1961-02-07,2025-08-24,False,input_crop_only,False
266680,99999,SENNO,Belarus,54.817,29.683,176.0,1960-01-27,2025-08-24,False,input_crop_only,False
266430,99999,SHARCOVSCHINA,Belarus,55.367,27.467,131.0,1961-02-08,2025-08-24,False,input_crop_only,False
265540,99999,VERHNEDVINSK,Belarus,55.817,27.95,132.0,1959-01-01,2025-08-24,False,input_crop_only,False
266660,99999,VITEBSK / VICIEBSK,Belarus,55.127,30.35,207.9,1932-01-01,2025-08-24,False,input_crop_only,False
261160,99999,KARDLA,Estonia,58.991,22.831,5.5,1959-01-01,2025-08-24,False,input_crop_only,False
262260,99999,KIHNU,Estonia,58.1,23.967,4.0,1959-01-01,2025-08-24,False,input_crop_only,False
261161,99999,KURESSAARE,Estonia,58.217,22.5,4.0,2004-05-10,2025-08-24,False,input_crop_only,False
261240,99999,LAANE-NIGULA,Estonia,58.95,23.817,25.0,1959-01-01,2025-08-24,False,input_crop_only,False
260290,99999,PAKRI,Estonia,59.383,24.033,26.0,1959-12-23,2025-08-24,False,input_crop_only,False
261150,99999,RISTNA,Estonia,58.917,22.067,9.0,1955-01-01,2025-08-24,False,input_crop_only,False
262180,99999,SORVE,Estonia,57.917,22.05,4.0,1973-01-01,2025-08-24,False,input_crop_only,False
262140,99999,VILSANDI,Estonia,58.383,21.817,6.0,1959-01-01,2025-08-24,False,input_crop_only,False
261280,99999,VIRTSU,Estonia,58.567,23.517,3.0,1959-01-02,2025-08-24,False,input_crop_only,False
262490,99999,VORU,Estonia,57.85,27.017,83.0,1959-01-01,2025-08-24,False,input_crop_only,False
029240,99999,AHTARI MYLLYMAKI,Finland,62.533,24.217,159.7,1973-01-01,2025-08-24,False,input_crop_only,False
027870,99999,ALAJARVI MOKSY,Finland,63.083,24.267,171.4,2008-01-15,2025-08-24,False,input_crop_only,False
027270,99999,ASIKKALA PULKKILANHARJU,Finland,61.267,25.517,76.0,2008-01-15,2025-08-24,False,input_crop_only,False
027970,99999,HAAPAVEST MUSTIKKAMAKI,Finland,64.15,25.417,112.0,2008-01-15,2025-08-24,False,input_crop_only,False
028740,99999,HAILUOTO ISLAND,Finland,65.033,24.8,6.0,1973-01-01,2025-08-24,False,input_crop_only,False
028730,99999,HAILUOTO MARJANIEMI,Finland,65.033,24.567,7.3,2004-08-03,2025-08-24,False,input_crop_only,False
029450,99999,HALLI,Finland,61.856,24.787,146.0,1973-01-01,2025-08-24,False,input_crop_only,False
027250,99999,HALSUA KANALA PUROLA,Finland,63.45,24.45,153.0,2008-01-15,2025-08-24,False,input_crop_only,False
027540,99999,HAMEENLINNA KATINEN,Finland,61.0,24.5,85.0,2008-01-15,2025-08-24,False,input_crop_only,False
027670,99999,HAMEENLINNA LAMMI PAPPILA,Finland,61.05,25.05,125.0,2008-01-15,2025-08-24,False,input_crop_only,False
029820,99999,HANKO RUSSARO,Finland,59.767,22.95,6.5,1906-01-01,2025-08-24,False,input_crop_only,False
027460,99999,HANKO TULLINIEMI,Finland,59.817,22.917,27.5,2009-07-01,2025-08-24,False,input_crop_only,False
027500,99999,HANKO TVARMINNE,Finland,59.85,23.25,3.0,2009-07-01,2025-08-24,False,input_crop_only,False
027040,99999,HATTULA LEPAA AWS,Finland,61.117,24.317,87.0,2008-01-15,2025-08-24,False,input_crop_only,False
027950,99999,HELSINKI HARMAJA,Finland,60.1,24.983,6.4,2008-01-16,2025-08-24,False,input_crop_only,False
029780,99999,HELSINKI KAISANIEMI,Finland,60.183,24.95,4.0,2008-01-15,2025-08-24,False,input_crop_only,False
029750,99999,HELSINKI MALMI,Finland,60.255,25.043,17.4,1917-01-01,2025-08-06,False,input_crop_only,False
029740,99999,HELSINKI VANTAA,Finland,60.317,24.963,54.6,1952-01-01,2025-08-24,False,input_crop_only,False
028290,99999,HYVINKAA HYVINKAANKYLA,Finland,60.6,24.8,87.5,2008-01-15,2025-08-24,False,input_crop_only,False
029840,99999,INKOO BAGASKAR,Finland,59.933,24.017,12.0,1973-01-01,2025-08-24,False,input_crop_only,False
029630,99999,JOKIOINEN,Finland,60.817,23.5,103.0,1957-04-02,2025-08-24,False,input_crop_only,False
027700,99999,JUUPAJOKI HYYTIALA,Finland,61.85,24.283,153.0,2008-01-15,2025-08-24,False,input_crop_only,False
029350,99999,JYVASKYLA,Finland,62.399,25.678,139.9,1917-01-01,2025-08-24,False,input_crop_only,False
028280,99999,KAARINA YLTOINEN,Finland,60.383,22.55,5.2,2008-01-15,2025-08-24,False,input_crop_only,False
028970,99999,KAJAANI,Finland,64.285,27.692,147.2,1916-01-01,2025-08-24,False,input_crop_only,False
029070,99999,KALAJOKI ULKOKALLA,Finland,64.333,23.45,5.0,1901-01-01,2025-08-24,False,input_crop_only,False
027530,99999,KANKAANPAA NIINISALO AIRFIELD,Finland,61.833,22.467,122.0,2008-01-15,2025-08-24,False,input_crop_only,False
029420,99999,KANKAANPAA NIINISALO PUOLVOIM,Finland,61.833,22.467,124.8,1952-01-01,2025-08-01,False,input_crop_only,False
027690,99999,KAUHAJOKI KUJA-KOKKO,Finland,62.417,22.183,93.0,2008-01-16,2025-08-24,False,input_crop_only,False
029130,99999,KAUHAVA,Finland,63.127,23.051,46.0,1973-01-01,2025-08-24,False,input_crop_only,False
028620,99999,KEMI AJOS,Finland,65.667,24.517,3.1,2004-08-31,2025-08-24,False,input_crop_only,False
028640,99999,KEMI TORNIO,Finland,65.782,24.599,18.6,1952-01-01,2025-08-24,False,input_crop_only,False
027430,99999,KEMIONSAARI VANO,Finland,59.867,22.2,8.0,2009-07-01,2025-08-24,False,input_crop_only,False
027940,99999,KIRKKONUMMI MAKILUOTO,Finland,59.917,24.35,2.0,2008-01-15,2025-08-24,False,input_crop_only,False
027210,99999,KOKKOLA TANKAR,Finland,63.95,22.85,6.3,2008-01-16,2025-08-24,False,input_crop_only,False
027800,99999,KORSNAS BREDSKARET,Finland,62.933,21.183,2.8,2008-01-15,2025-08-24,False,input_crop_only,False
027520,99999,KRISTIINANKAUPUNKI LIGHTHOUSE,Finland,62.2,21.167,21.7,2008-01-15,2025-08-24,False,input_crop_only,False
029030,99999,KRUUNUPYY / KOKKOLA PIETARSAARI,Finland,63.721,23.143,25.3,1960-11-01,2025-08-24,False,input_crop_only,False
027990,99999,KUHMO KALLIOJOKI,Finland,64.3,30.167,198.4,2008-01-15,2025-08-24,False,input_crop_only,False
029640,99999,KUSTAVI ISOKARI,Finland,60.717,21.033,3.9,2004-08-03,2025-08-24,False,input_crop_only,False
028690,99999,KUUSAMO,Finland,65.988,29.239,264.0,1909-01-01,2025-08-24,False,input_crop_only,False
028110,99999,KUUSAMO KIUTAKONGAS,Finland,66.367,29.317,165.0,2008-01-15,2025-08-24,False,input_crop_only,False
028680,99999,KUUSAMO RUKATUNTURI,Finland,66.167,29.15,362.8,2008-01-15,2025-08-24,False,input_crop_only,False
027060,99999,LOHJA PORLA,Finland,60.25,24.05,37.0,2008-01-15,2025-08-24,False,input_crop_only,False
027650,99999,LUHANKA JUDINSALO,Finland,61.7,25.5,83.2,2008-01-15,2025-08-24,False,input_crop_only,False
029100,99999,MUSTASAARI VALASSAARET,Finland,63.433,21.067,11.0,1973-01-01,2025-08-24,False,input_crop_only,False
028750,99999,OULU,Finland,64.93,25.355,14.3,1906-01-01,2025-08-24,False,input_crop_only,False
028760,99999,OULU VIHREASAARI HARBOUR,Finland,65.0,25.4,3.8,2008-01-15,2025-08-24,False,input_crop_only,False
029500,99999,PARAINEN FAGERHOLM,Finland,60.117,21.7,4.5,1901-01-01,2025-08-24,False,input_crop_only,False
029810,99999,PARAINEN UTO,Finland,59.783,21.367,6.8,1901-01-01,2025-08-24,False,input_crop_only,False
028440,99999,PELLO CENTRE,Finland,66.767,23.967,85.9,1973-01-01,2025-08-24,False,input_crop_only,False
029200,99999,PIETARSAARI KALLAN,Finland,63.75,22.517,19.2,2004-08-03,2025-08-24,False,input_crop_only,False
029520,99999,PORI,Finland,61.462,21.8,13.4,1952-01-01,2025-08-24,False,input_crop_only,False
027510,99999,PORI TAHKOLUOTO HARBOUR,Finland,61.633,21.383,4.6,2008-01-16,2025-08-24,False,input_crop_only,False
028660,99999,PUDASJARVI AIRFIELD,Finland,65.417,26.967,120.0,2001-06-01,2025-08-24,False,input_crop_only,False
027380,99999,PYHAJARVI OL OJAKYLA,Finland,63.733,25.7,153.3,2009-07-01,2025-08-24,False,input_crop_only,False
028720,99999,RAAHE LAPALUOTO HARBOUR,Finland,64.667,24.4,2.0,2008-01-16,2025-08-24,False,input_crop_only,False
028000,99999,RAAHE NAHKIAINEN,Finland,64.617,23.9,23.8,2008-01-16,2025-08-24,False,input_crop_only,False
027570,99999,RAASEPORI JUSSARO,Finland,59.817,23.583,22.8,2008-01-16,2025-08-24,False,input_crop_only,False
027610,99999,RAUMA KYLMAPIHLAJA,Finland,61.15,21.3,29.0,2008-01-15,2025-08-24,False,input_crop_only,False
028450,99999,ROVANIEMI,Finland,66.565,25.83,196.6,1973-01-01,2025-08-24,False,input_crop_only,False
028130,99999,ROVANIEMI APUKKA,Finland,66.583,26.017,107.4,2008-01-15,2025-08-24,False,input_crop_only,False
028470,99999,ROVANIEMI RAUTATIEASEMA,Finland,66.5,25.717,82.3,2008-01-15,2025-08-24,False,input_crop_only,False
027560,99999,SALO KARKKA,Finland,60.367,23.117,2.0,2008-01-15,2025-08-24,False,input_crop_only,False
027770,99999,SALO KIIKALA AIRFIELD,Finland,60.467,23.65,117.0,2004-05-10,2025-08-24,False,input_crop_only,False
029245,99999,SEINAJOKI,Finland,62.692,22.832,91.7,1999-01-14,2025-08-24,False,input_crop_only,False
028330,99999,SEINAJOKI PELMAA,Finland,62.933,22.483,31.7,2008-01-15,2025-08-24,False,input_crop_only,False
028030,99999,SIIKAJOKI REVONLAHTI,Finland,64.683,25.083,49.5,2008-01-15,2025-08-24,False,input_crop_only,False
029490,99999,SOMERO SALKOLA,Finland,60.65,23.8,143.0,1973-01-01,2025-08-24,False,input_crop_only,False
027390,99999,SOTKAMO KUOLANIEMI,Finland,64.117,28.333,162.5,2009-07-01,2025-08-24,False,input_crop_only,False
027810,99999,STROMMINGSBADN,Finland,62.983,20.733,3.7,2008-01-15,2025-08-24,False,input_crop_only,False
028890,99999,SUOMUSSALMI PESIO,Finland,64.933,28.75,225.2,2001-09-19,2025-08-24,False,input_crop_only,False
028040,99999,TAIVALKOSKI KK URHEILUTIE,Finland,65.583,28.217,197.0,2008-01-15,2025-08-24,False,input_crop_only,False
027630,99999,TAMPERE HARMALA,Finland,61.467,23.75,86.0,2008-01-15,2025-08-24,False,input_crop_only,False
029440,99999,TAMPERE PIRKKALA,Finland,61.414,23.604,118.9,1906-01-01,2025-08-24,False,input_crop_only,False
029430,99999,TAMPERE SIILINKARI,Finland,61.517,23.75,98.0,1973-01-01,2025-08-24,False,input_crop_only,False
027370,99999,TOHOLAMPI LAITALA,Finland,63.817,24.167,84.5,2009-07-01,2025-08-24,False,input_crop_only,False
029720,99999,TURKU,Finland,60.514,22.263,49.1,1901-01-01,2025-08-24,False,input_crop_only,False
027730,99999,TURKU ARTUKAINEN,Finland,60.45,22.183,9.1,2008-01-15,2025-08-24,False,input_crop_only,False
027470,99999,TURKU RAJAKARI,Finland,60.383,22.1,5.5,2009-07-01,2025-08-24,False,input_crop_only,False
027140,99999,VAALA PELSO,Finland,64.5,26.44,114.0,2008-01-16,2025-08-24,False,input_crop_only,False
029110,99999,VAASA,Finland,63.051,21.762,5.8,1917-01-01,2025-08-24,False,input_crop_only,False
027100,99999,VESANTO SONKARI,Finland,62.917,26.417,120.0,2008-01-16,2025-08-24,False,input_crop_only,False
027580,99999,VIHTI MAASOJA,Finland,60.417,24.4,44.2,2008-01-15,2025-08-24,False,input_crop_only,False
029150,99999,VIITASAARI,Finland,63.083,25.867,132.0,1973-01-01,2025-08-24,False,input_crop_only,False
027350,99999,VIRRAT AIJANNEVA,Finland,62.333,23.55,139.5,2009-07-01,2025-08-24,False,input_crop_only,False
028120,99999,YLITORNIO MELTOSJARVI,Finland,66.533,24.65,93.0,2008-01-15,2025-08-24,False,input_crop_only,False
027550,99999,YLIVIESKA AIRFIELD,Finland,64.05,24.717,76.0,2003-03-30,2025-08-24,False,input_crop_only,False
262290,99999,AINAZI,Latvia,57.867,24.367,5.0,1955-01-01,2025-08-24,False,input_crop_only,False
263460,99999,ALUKSNE,Latvia,57.433,27.033,193.0,1959-01-01,2025-08-24,False,input_crop_only,False
264290,99999,BAUSKA,Latvia,56.4,24.217,33.0,1959-01-01,2025-08-24,False,input_crop_only,False
265510,99999,DAGDA,Latvia,56.1,27.55,181.0,1959-01-01,2025-08-24,False,input_crop_only,False
265440,99999,DAUGAVPILS,Latvia,55.867,26.617,122.0,1955-01-01,2025-08-24,False,input_crop_only,False
264240,99999,DOBELE,Latvia,56.617,23.317,44.0,1996-05-01,2025-08-24,False,input_crop_only,False
263480,99999,GULBENE,Latvia,57.133,26.717,143.0,1948-01-01,2025-08-24,False,input_crop_only,False
264250,99999,JELGAVA,Latvia,56.65,23.733,9.0,1959-01-01,2025-08-24,False,input_crop_only,False
263130,99999,KOLKA,Latvia,57.75,22.6,5.0,1955-01-01,2025-08-24,False,input_crop_only,False
264060,99999,LIEPAJA INTL,Latvia,56.518,21.097,4.9,1955-01-01,2025-08-24,False,input_crop_only,False
264470,99999,MADONA,Latvia,56.85,26.233,133.0,1928-01-02,2025-08-24,False,input_crop_only,False
263240,99999,MERSRAGS,Latvia,57.35,23.117,6.0,1959-01-01,2025-08-24,False,input_crop_only,False
264030,99999,PAVILOSTA,Latvia,56.883,21.183,10.0,1959-01-01,2025-08-24,False,input_crop_only,False
263350,99999,PRIEKULI,Latvia,57.317,25.333,122.0,1955-01-01,2025-08-24,False,input_crop_only,False
264460,99999,REZEKNE,Latvia,56.533,27.267,157.0,1955-01-01,2025-08-24,False,input_crop_only,False
264225,99999,RIGA,Latvia,56.967,24.05,26.0,1994-07-18,2025-08-24,False,input_crop_only,False
265030,99999,RUCAVA,Latvia,56.15,21.167,19.0,1959-01-01,2025-08-24,False,input_crop_only,False
262270,99999,RUHNU,Latvia,57.783,23.25,2.0,1961-11-10,2025-08-24,False,input_crop_only,False
262380,99999,RUJIENA,Latvia,57.9,25.383,12.0,1959-01-01,2025-08-24,False,input_crop_only,False
264160,99999,SALDUS,Latvia,56.683,22.5,112.0,1955-01-01,2025-08-24,False,input_crop_only,False
264350,99999,SKRIVERI,Latvia,56.65,25.133,83.0,1955-01-01,2025-08-24,False,input_crop_only,False
263260,99999,SKULTE,Latvia,57.317,24.417,10.0,1959-01-01,2025-08-24,False,input_crop_only,False
263180,99999,STENDE,Latvia,57.183,22.55,79.0,1959-01-01,2025-08-24,False,input_crop_only,False
262470,99999,VALGA,Latvia,57.783,26.033,66.0,1959-01-01,2025-08-24,False,input_crop_only,False
264050,99999,VENTSPILS,Latvia,57.35,21.533,6.0,2004-09-05,2025-08-24,False,input_crop_only,False
264360,99999,ZILANI,Latvia,56.517,25.917,109.0,1959-01-01,2025-08-24,False,input_crop_only,False
263390,99999,ZOSENI,Latvia,57.133,25.917,180.0,1995-01-01,2025-08-24,False,input_crop_only,False
265310,99999,BIRZAI,Lithuania,56.2,24.767,51.5,1959-01-01,2025-08-24,False,input_crop_only,False
265470,99999,DUKSTAS,Lithuania,55.517,26.3,168.0,2001-07-05,2025-08-21,False,input_crop_only,False
265020,99999,PALANGA INTL,Lithuania,55.973,21.094,10.1,1959-01-01,2025-08-24,False,input_crop_only,False
265290,99999,PANEVEZYS,Lithuania,55.733,24.417,58.3,1959-01-01,2025-08-21,False,input_crop_only,False
265021,99999,SIAULIAI INTL,Lithuania,55.883,23.383,138.0,2004-01-06,2025-08-24,False,input_crop_only,False
265150,99999,TELSIAI,Lithuania,55.967,22.25,152.0,1959-01-01,2025-08-21,False,input_crop_only,False
266330,99999,UTENA,Lithuania,55.517,25.583,105.7,1959-01-01,2025-08-24,False,input_crop_only,False
265850,99999,BELYJ,Russia,55.85,32.95,222.0,1948-01-01,2025-08-23,False,input_crop_only,True
272420,99999,BUJ,Russia,58.483,41.533,103.0,1946-01-02,2025-08-15,False,input_crop_only,True
271130,99999,CHEREPOVEC,Russia,59.267,38.017,114.0,1955-03-01,2025-08-24,False,input_crop_only,True
370008,99999,DOMODEDOVO,Russia,55.409,37.906,179.2,1999-01-14,2025-08-24,False,input_crop_only,True
227620,99999,DVINSKIJ BEREZNIK,Russia,62.817,42.783,34.0,1959-01-01,2025-08-20,False,input_crop_only,True
226560,99999,EMECK,Russia,63.483,41.8,18.0,1959-01-01,2025-08-24,False,input_crop_only,True
224130,99999,ENGOZERO,Russia,65.783,33.933,80.0,1973-01-03,2025-08-24,False,input_crop_only,True
275070,99999,GAGARIN,Russia,55.517,35.033,194.0,1959-01-01,2025-08-21,False,input_crop_only,True
263780,99999,HOLM,Russia,57.15,31.183,71.0,1946-03-07,2025-08-24,False,input_crop_only,True
225590,99999,HOLMOGORY,Russia,64.217,41.667,12.0,1959-01-01,2025-08-24,False,input_crop_only,True
224080,99999,KALEVALA,Russia,65.217,31.167,120.0,1946-09-01,2025-08-24,False,input_crop_only,True
277030,99999,KALUGA,Russia,54.55,36.367,198.8,1932-01-01,2025-08-24,False,input_crop_only,False
273160,99999,KASIN,Russia,57.35,37.583,138.0,1959-01-01,2025-08-24,False,input_crop_only,True
276270,99999,KASIRA,Russia,54.833,38.15,221.0,1959-08-23,2025-08-24,False,input_crop_only,False
225200,99999,KEM' PORT,Russia,64.983,34.8,8.0,2006-11-21,2025-08-24,False,input_crop_only,True
274170,99999,KLIN,Russia,56.35,36.75,167.0,1984-05-11,2025-08-24,False,input_crop_only,True
225290,99999,KOLEZMA,Russia,64.233,35.883,3.0,1959-01-01,2025-08-24,False,input_crop_only,True
227490,99999,KONEVO,Russia,62.133,39.3,101.3,1959-01-01,2025-08-24,False,input_crop_only,True
229510,99999,KONOSHA,Russia,60.983,40.25,226.5,1959-01-01,2025-08-24,False,input_crop_only,True
273330,99999,KOSTROMA,Russia,57.733,40.783,126.0,1959-01-01,2025-08-22,False,input_crop_only,True
272150,99999,KRASNYY KHOLM,Russia,58.033,37.1,166.6,1988-12-01,2025-08-23,False,input_crop_only,True
276060,99999,MALOJAROSLAVEC,Russia,55.017,36.483,197.0,1960-01-16,2025-08-24,False,input_crop_only,True
278170,99999,MCENSK,Russia,53.383,36.533,201.0,1991-09-11,2025-08-24,False,input_crop_only,False
276120,99999,MOSKVA VDNH (DOLGOPRUDNYJ),Russia,55.833,37.617,200.0,1932-01-01,2025-08-04,False,input_crop_only,True
276110,99999,NARO-FOMINSK,Russia,55.383,36.7,193.0,1959-01-01,2025-08-21,False,input_crop_only,True
228540,99999,NJANDOMA,Russia,61.667,40.183,233.0,1936-12-31,2025-08-24,False,input_crop_only,True
275110,99999,NOVO-JERUSALIM,Russia,55.9,36.817,162.0,1959-01-02,2025-08-22,False,input_crop_only,True
229740,99999,NYUKSENITSA,Russia,60.417,44.217,136.5,1959-01-01,2025-08-24,False,input_crop_only,True
226410,99999,ONEGA,Russia,63.9,38.117,13.0,1946-03-07,2025-08-24,False,input_crop_only,True
264560,99999,OPOCHKA,Russia,56.717,28.717,99.0,1959-01-01,2025-08-24,False,input_crop_only,True
238045,99999,OSTAFYEVO,Russia,55.508,37.505,172.0,2009-07-01,2024-06-18,False,input_crop_only,True
226190,99999,PADANY,Russia,63.267,33.417,128.0,1959-01-01,2025-08-24,False,input_crop_only,True
275230,99999,PAVLOVSKIJ POSAD,Russia,55.767,38.683,135.0,1959-01-01,2025-08-02,False,input_crop_only,True
267840,99999,POCHINOK,Russia,54.417,32.433,201.0,1988-12-01,2025-08-23,False,input_crop_only,False
263590,99999,PUSKINSKIE GORY,Russia,57.017,28.9,108.0,1959-01-01,2025-08-24,False,input_crop_only,True
225250,99999,RAZNAVOLOK,Russia,64.567,34.917,9.0,1948-03-06,2025-08-24,False,input_crop_only,True
226020,99999,REBOLY,Russia,63.833,30.817,182.0,1946-02-01,2025-08-24,False,input_crop_only,True
273290,99999,ROSTOV,Russia,57.2,39.417,101.0,1946-04-01,2025-08-20,False,input_crop_only,True
272250,99999,RYBINSK,Russia,58.1,38.683,105.0,1936-01-01,2025-08-16,False,input_crop_only,True
226210,99999,SEGEZA,Russia,63.767,34.283,112.0,1946-01-09,2025-08-24,False,input_crop_only,True
225460,99999,SEVERODVINSK,Russia,64.55,39.767,7.9,1959-01-01,2025-08-24,False,input_crop_only,True
228690,99999,SHANGALY,Russia,61.133,43.35,117.2,1959-01-01,2025-08-24,False,input_crop_only,True
227680,99999,SHENKURSK,Russia,62.1,42.9,45.0,1932-01-01,2025-08-24,False,input_crop_only,True
275155,99999,SHEREMETYEVO,Russia,55.973,37.415,189.6,1973-01-01,2025-08-24,False,input_crop_only,True
267810,99999,SMOLENSK,Russia,54.75,32.067,239.0,1936-12-31,2025-08-21,False,input_crop_only,False
224290,99999,SOLOVKI,Russia,65.033,35.7,7.4,1959-01-01,2025-08-24,False,input_crop_only,True
267950,99999,SPAS-DEMENSK,Russia,54.417,34.017,238.0,1959-01-01,2025-08-24,False,input_crop_only,False
