USAF,WBAN,name,lat,lon,elev
220030,99999,VAIDA GUBA (BAY),69.933,31.983,8.0
220040,99999,NIKEL,69.4,30.233,92.0
220280,99999,TERIBERKA,69.2,35.117,30.0
221010,99999,YANISKOSKI,68.967,28.783,101.0
221060,99999,PADUN,68.6,31.8,63.0
221130,99999,MURMANSK,68.782,32.751,81.1
221270,99999,LOVOZERO,68.0,35.033,162.0
221650,99999,KANIN NOS,68.65,43.3,49.0
222120,99999,MONCHEGORSK,67.933,32.917,132.0
222130,99999,APATITY,67.55,33.35,134.0
222170,99999,KANDALAKSHA,67.15,32.35,25.0
222350,99999,KRASNOSCEL'E,67.35,37.05,156.0
222490,99999,KANEVKA,67.133,39.667,151.0
222710,99999,SHOJNA,67.883,44.15,18.0
223120,99999,KOVDA,66.7,32.883,18.0
223240,99999,UMBA,66.683,34.35,40.0
223340,99999,KASHKARANTSY,66.333,36.017,3.5
223490,99999,PJALICA,66.183,39.533,9.0
223650,99999,ABRAMOVSKIJ MAJAK,66.383,43.25,21.0
224080,99999,KALEVALA,65.217,31.167,120.0
224130,99999,ENGOZERO,65.783,33.933,80.0
224290,99999,SOLOVKI,65.033,35.7,7.4
224380,99999,ZIZGIN,65.2,36.817,17.0
224460,99999,ZIMNEGORSKIJ MAJAK,65.467,39.733,77.0
224560,99999,KEPINO,65.383,41.883,68.6
224710,99999,MEZEN',65.867,44.217,19.0
225200,99999,KEM' PORT,64.983,34.8,8.0
225250,99999,RAZNAVOLOK,64.567,34.917,9.0
225290,99999,KOLEZMA,64.233,35.883,3.0
225410,99999,UNSKIJ MAJAK,64.833,38.4,5.0
225460,99999,SEVERODVINSK,64.55,39.767,7.9
225500,99999,TALAGI,64.6,40.717,18.9
225510,99999,MUD'JUG,64.85,40.283,3.0
225590,99999,HOLMOGORY,64.217,41.667,12.0
225630,99999,PINEGA,64.7,43.383,31.0
225730,99999,LESUKONSKOE,64.9,45.767,71.0
226020,99999,REBOLY,63.833,30.817,182.0
226190,99999,PADANY,63.267,33.417,128.0
226210,99999,SEGEZA,63.767,34.283,112.0
226410,99999,ONEGA,63.9,38.117,13.0
226480,99999,TURCASOVO,63.117,39.233,34.0
226560,99999,EMECK,63.483,41.8,18.0
226710,99999,KARPOGORY,64.017,44.45,65.1
226760,99999,SURA,63.583,45.633,62.0
227170,99999,SUOYARVI,62.1,32.383,156.0
227210,99999,MEDVEZEGORSK,62.917,34.433,81.0
227270,99999,KONDOPOGA,62.167,34.3,38.0
227490,99999,KONEVO,62.133,39.3,101.3
227620,99999,DVINSKIJ BEREZNIK,62.817,42.783,34.0
227680,99999,SHENKURSK,62.1,42.9,45.0
227780,99999,VERHNJAJA TOJMA,62.233,45.017,58.0
228020,99999,SORTAVALA,61.717,30.717,19.0
228050,99999,VALAAM,61.367,30.883,16.0
228200,99999,PETROZAVODSK,61.817,34.267,110.0
228310,99999,PUDOZ,61.8,36.583,44.0
228370,99999,VYTEGRA,61.017,36.45,56.0
228450,99999,KARGOPOL',61.5,38.933,126.0
228540,99999,NJANDOMA,61.667,40.183,233.0
228670,99999,VEL'SK,61.083,42.067,91.0
228690,99999,SHANGALY,61.133,43.35,117.2
228760,99999,KRASNOBORSK,61.55,45.933,59.6
228920,99999,VYBORG,60.717,28.733,13.0
229120,99999,OLONEC,60.983,32.983,12.0
229130,99999,LODEJNOE POLE,60.717,33.55,23.0
229170,99999,NOVAJA LADOGA,60.117,32.317,9.0
229250,99999,VINNICY,60.633,34.783,111.0
229390,99999,BELOZERSK,60.017,37.75,131.0
229510,99999,KONOSHA,60.983,40.25,226.5
229540,99999,VOZEGA,60.467,40.2,202.0
229740,99999,NYUKSENITSA,60.417,44.217,136.5
238045,99999,OSTAFYEVO,55.508,37.505,172.0
260590,99999,KINGISEPP,59.367,28.6,19.0
260630,99999,PULKOVO,59.8,30.263,24.1
260670,99999,VOLOSOVO,59.433,29.5,129.0
260690,99999,BELOGORKA,59.35,30.133,90.0
260720,99999,SHLISSEL'BURG,59.933,31.0,17.0
260780,99999,LJUBAN',59.35,31.233,39.0
260800,99999,KIRISHI,59.45,32.033,26.0
260940,99999,TIHVIN,59.65,33.55,61.0
260990,99999,EFIMOVSKAJA,59.5,34.7,176.0
261570,99999,GDOV,58.733,27.833,40.0
261670,99999,NIKOLAEVSKOE,58.567,29.8,91.0
261790,99999,NOVGOROD,58.517,31.25,24.0
262580,99999,PSKOV,57.784,28.396,46.9
262640,99999,STRUGI KRASNYE,58.267,29.1,129.0
262680,99999,DNO,57.817,29.95,71.0
262750,99999,STARAYA RUSSA,58.017,31.317,25.0
262850,99999,KRESTCY,58.267,32.533,63.0
262910,99999,BOROVICI,58.417,33.9,89.0
262980,99999,BOLOGOE,57.9,34.03,188.0
263590,99999,PUSKINSKIE GORY,57.017,28.9,108.0
263780,99999,HOLM,57.15,31.183,71.0
263810,99999,DEMJANSK,57.65,32.467,62.0
263890,99999,OSTASKOV,57.133,33.117,218.0
263930,99999,VYSNIJ VOLOCEK,57.55,34.567,169.0
264560,99999,OPOCHKA,56.717,28.717,99.0
264620,99999,SUSHCHEVO,57.0,29.917,108.0
264770,99999,VELIKIE LUKI,56.35,30.62,106.0
264790,99999,TOROPEC,56.483,31.633,187.0
264990,99999,STARITSA,56.5,34.933,186.0
265780,99999,VELIZH,55.617,31.183,166.0
265850,99999,BELYJ,55.85,32.95,222.0
266950,99999,VJAZ'MA,55.167,34.4,251.0
270080,99999,BABAEVO,59.4,35.9,137.0
270370,99999,VOLOGDA,59.233,39.867,131.0
270510,99999,TOTMA,59.967,42.767,134.0
270660,99999,NIKOL'SK,59.533,45.467,143.0
271060,99999,USTYUZHNA,58.85,36.433,125.0
271080,99999,OHONY,58.567,35.633,145.0
271130,99999,CHEREPOVEC,59.267,38.017,114.0
271640,99999,KOLOGRIV,58.817,44.317,151.2
272080,99999,MAKSATIKHA,57.8,35.883,142.0
272150,99999,KRASNYY KHOLM,58.033,37.1,166.6
272250,99999,RYBINSK,58.1,38.683,105.0
272420,99999,BUJ,58.483,41.533,103.0
272520,99999,NIKOLO-POLOMA,58.35,43.383,150.0
272710,99999,SAR'JA,58.367,45.533,125.0
272770,99999,VETLUGA,57.85,45.767,136.0
273160,99999,KASIN,57.35,37.583,138.0
273210,99999,UGLIC,57.5,38.3,122.0
273290,99999,ROSTOV,57.2,39.417,101.0
273330,99999,KOSTROMA,57.733,40.783,126.0
273470,99999,IVANOVO,56.95,40.967,126.0
273550,99999,JUR'EVEC,57.333,43.117,132.0
273690,99999,KRASNYE BAKI,57.133,45.167,110.0
274020,99999,TVER',56.883,35.867,137.0
274170,99999,KLIN,56.35,36.75,167.0
274530,99999,GORODEC,56.683,43.433,103.0
274590,99999,STRIGINO,56.23,43.784,78.0
275070,99999,GAGARIN,55.517,35.033,194.0
275110,99999,NOVO-JERUSALIM,55.9,36.817,162.0
275155,99999,SHEREMETYEVO,55.973,37.415,189.6
