sid,name,country,fold,n,era5,cerra,aifs24,cerra_bias,headroom,lat,lon,cerra_offset_km,water_km,lake_km
02732099999,KUOPIO RITONIEMI,Finland,0,572.0,1.39,0.9517,1.9745,-0.2354,0.4384,62.8,27.9,1.0103,5.5,202.23253941935258
02733099999,LAPPEENRANTA KONNUNSUO,Finland,4,572.0,1.9335,1.3457,1.9872,-0.0787,0.5878,61.033,28.567,2.032,15.556349186104047,83.773504164503
02734099999,PARIKKALA KOITSANLAHTI,Finland,0,572.0,1.5695,0.9499,1.6006,-0.1275,0.6196,61.45,29.467,2.3043,45.35416188179427,45.35416188179427
02736099999,JUVA PARTALA,Finland,4,572.0,1.2013,0.7206,1.4442,-0.1652,0.4807,61.9,27.883,1.9391,36.89512162874653,142.78830484321887
02759099999,PORVOO HARABACKA,Finland,4,569.0,0.9923,0.9686,1.3252,-0.0771,0.0237,60.4,25.6,3.0655,22.0,265.4284272643004
02768099999,HEINOLA ASEMANTAUS,Finland,4,572.0,1.2429,1.0562,1.3417,-0.3298,0.1867,61.2,26.05,2.6326,68.0312428226914,220.13745705808452
02771099999,JOUTSA LEIVONMAKI SAVENAHO,Finland,4,572.0,1.1528,1.003,1.3765,-0.2603,0.1498,61.883,26.1,2.1932,33.455193916640205,231.26175645791503
02772099999,RANTASALMI RUKKASLUOTO,Finland,0,572.0,1.6511,1.4105,2.0096,-0.3526,0.2406,62.067,28.567,1.4302,0.0,121.7476899164826
02778099999,SAVONLINNA PUNKAHARJU,Finland,0,572.0,1.3184,1.3786,1.679,0.1435,-0.0603,61.8,29.317,1.6931,5.5,69.57010852370435
02788099999,KUOPIO MAANINKA,Finland,0,572.0,1.3106,0.846,1.6479,-0.2756,0.4646,63.15,27.317,2.0921,46.66904755831213,250.89888401505496
02789099999,RAUTAVAARA YLA-LUOSTA,Finland,0,569.0,1.322,0.9451,1.7814,-0.2564,0.3768,63.383,28.667,2.367,34.785054261852174,225.70112981551512
02791099999,JUUKA NIEMELA,Finland,0,572.0,2.8143,1.4128,3.0706,0.137,1.4014,63.233,29.233,2.6947,7.778174593052023,194.60986614249543
