sid,name,country,lat,lon,elev,cerra_offset_km,fold
02732099999,KUOPIO RITONIEMI,Finland,62.8,27.9,87.0,1.0103,0
02733099999,LAPPEENRANTA KONNUNSUO,Finland,61.033,28.567,46.4,2.032,4
02734099999,PARIKKALA KOITSANLAHTI,Finland,61.45,29.467,75.0,2.3043,0
02736099999,JUVA PARTALA,Finland,61.9,27.883,111.5,1.9391,4
02759099999,PORVOO HARABACKA,Finland,60.4,25.6,23.5,3.0655,4
02768099999,HEINOLA ASEMANTAUS,Finland,61.2,26.05,92.0,2.6326,4
02771099999,JOUTSA LEIVONMAKI SAVENAHO,Finland,61.883,26.1,146.0,2.1932,4
02772099999,RANTASALMI RUKKASLUOTO,Finland,62.067,28.567,80.0,1.4302,0
02778099999,SAVONLINNA PUNKAHARJU,Finland,61.8,29.317,79.5,1.6931,0
02788099999,KUOPIO MAANINKA,Finland,63.15,27.317,91.3,2.0921,0
02789099999,RAUTAVAARA YLA-LUOSTA,Finland,63.383,28.667,165.5,2.367,0
02791099999,JUUKA NIEMELA,Finland,63.233,29.233,115.0,2.6947,0
02793099999,LIPERI TUISKAVANLUOTO,Finland,62.55,29.667,79.5,2.7587,0
02796099999,LIEKSA LAMPELA,Finland,63.317,30.05,98.0,2.3925,0
02798099999,VALTIMO KK,Finland,63.667,28.833,115.0,2.7091,0
02830099999,KOUVOLA ANJALA,Finland,60.7,26.817,33.0,2.658,4
02831099999,VIROLAHTI KOIVUNIEMI,Finland,60.533,27.667,5.0,1.6045,4
02832099999,TOHMAJARVI KEMIE,Finland,62.233,30.35,90.0,2.6163,0
02834099999,VIEREMA KAARAKKALA,Finland,63.833,27.217,207.6,1.9363,0
02917099999,KUOPIO,Finland,63.007,27.798,98.5,0.898,0
02919099999,LAPPEENRANTA HIEKKAPAKKA,Finland,61.2,28.467,77.0,1.7881,4
02929099999,JOENSUU,Finland,62.663,29.608,121.3,1.9598,0
02939099999,ILOMANTSI MEKRIJARVI,Finland,62.767,30.983,156.5,1.6778,0
02947099999,MIKKELI,Finland,61.687,27.202,100.3,2.1078,4
02948099999,SAVONLINNA,Finland,61.943,28.945,94.8,2.559,0
02958099999,LAPPEENRANTA,Finland,61.045,28.144,106.4,1.761,4
02966099999,UTTI,Finland,60.896,26.938,103.3,1.9579,4
02967099999,KOTKA HAAPASAARI,Finland,60.283,27.183,5.5,2.5894,4
02976099999,KOTKA RANKKI,Finland,60.383,26.967,13.1,2.7625,4
02987099999,PORVOO KALLBADAGRUND,Finland,59.983,25.6,23.3,1.8302,1
02991099999,PORVOO EMASALO,Finland,60.2,25.633,27.1,3.3629,4
02992099999,LOVIISA ORRENGRUND,Finland,60.283,26.45,3.5,1.9133,4
22717099999,SUOYARVI,Russia,62.1,32.383,156.0,1.9813,0
22721099999,MEDVEZEGORSK,Russia,62.917,34.433,81.0,2.2517,0
