sid,name,country,fold,n,era5,cerra,aifs24,cerra_bias,headroom
02732099999,KUOPIO RITONIEMI,Finland,0,572.0,1.39,0.9517,1.9745,-0.2354,0.4384
02733099999,LAPPEENRANTA KONNUNSUO,Finland,4,572.0,1.9335,1.3457,1.9872,-0.0787,0.5878
02734099999,PARIKKALA KOITSANLAHTI,Finland,0,572.0,1.5695,0.9499,1.6006,-0.1275,0.6196
02736099999,JUVA PARTALA,Finland,4,572.0,1.2013,0.7206,1.4442,-0.1652,0.4807
02759099999,PORVOO HARABACKA,Finland,4,569.0,0.9923,0.9686,1.3252,-0.0771,0.0237
02768099999,HEINOLA ASEMANTAUS,Finland,4,572.0,1.2429,1.0562,1.3417,-0.3298,0.1867
02771099999,JOUTSA LEIVONMAKI SAVENAHO,Finland,4,572.0,1.1528,1.003,1.3765,-0.2603,0.1498
02772099999,RANTASALMI RUKKASLUOTO,Finland,0,572.0,1.6511,1.4105,2.0096,-0.3526,0.2406
02778099999,SAVONLINNA PUNKAHARJU,Finland,0,572.0,1.3184,1.3786,1.679,0.1435,-0.0603
02788099999,KUOPIO MAANINKA,Finland,0,572.0,1.3106,0.846,1.6479,-0.2756,0.4646
02789099999,RAUTAVAARA YLA-LUOSTA,Finland,0,569.0,1.322,0.9451,1.7814,-0.2564,0.3768
02791099999,JUUKA NIEMELA,Finland,0,572.0,2.8143,1.4128,3.0706,0.137,1.4014
02793099999,LIPERI TUISKAVANLUOTO,Finland,0,572.0,1.8378,1.3319,2.1198,-0.2466,0.5058
02796099999,LIEKSA LAMPELA,Finland,0,572.0,1.5875,1.094,2.1734,-0.122,0.4935
02798099999,VALTIMO KK,Finland,0,568.0,1.1031,0.8906,1.6393,-0.3707,0.2124
02830099999,KOUVOLA ANJALA,Finland,4,567.0,0.8879,1.0956,1.1985,-0.1617,-0.2076
02831099999,VIROLAHTI KOIVUNIEMI,Finland,4,571.0,1.7526,1.5899,1.7679,0.2526,0.1626
02832099999,TOHMAJARVI KEMIE,Finland,0,570.0,1.666,1.2378,1.8325,-0.1217,0.4283
02834099999,VIEREMA KAARAKKALA,Finland,0,571.0,1.9278,1.3108,2.0752,-0.4016,0.617
02917099999,KUOPIO,Finland,0,572.0,1.2741,0.8516,1.635,-0.2932,0.4225
02919099999,LAPPEENRANTA HIEKKAPAKKA,Finland,4,548.0,1.6351,1.4044,2.3613,-0.1626,0.2307
02929099999,JOENSUU,Finland,0,572.0,1.1587,0.8559,1.5179,-0.3508,0.3028
02939099999,ILOMANTSI MEKRIJARVI,Finland,0,572.0,1.2261,0.8599,1.4541,-0.3256,0.3662
02947099999,MIKKELI,Finland,4,379.0,1.7022,0.9896,1.7923,-0.1848,0.7126
02948099999,SAVONLINNA,Finland,0,572.0,1.4778,0.9245,1.5129,-0.377,0.5533
02958099999,LAPPEENRANTA,Finland,4,572.0,1.1308,0.7942,1.3887,0.1026,0.3366
02966099999,UTTI,Finland,4,570.0,1.0781,0.8252,1.3413,-0.1648,0.2529
02967099999,KOTKA HAAPASAARI,Finland,4,570.0,1.7266,1.4296,1.737,-0.812,0.297
02976099999,KOTKA RANKKI,Finland,4,571.0,1.6561,1.5461,1.8527,-0.4988,0.1101
02987099999,PORVOO KALLBADAGRUND,Finland,1,572.0,1.5121,1.4991,1.4791,-0.5504,0.013
02991099999,PORVOO EMASALO,Finland,4,571.0,1.6548,0.9672,1.6083,-0.1961,0.6876
02992099999,LOVIISA ORRENGRUND,Finland,4,571.0,1.5208,1.2777,1.6262,-0.4697,0.2431
22717099999,SUOYARVI,Russia,0,649.0,1.2,1.0532,1.4128,-0.0014,0.1469
22721099999,MEDVEZEGORSK,Russia,0,666.0,1.3642,0.8884,1.5825,-0.4627,0.4759
22727099999,KONDOPOGA,Russia,0,665.0,1.4772,0.9997,1.6327,-0.2015,0.4776
22802099999,SORTAVALA,Russia,0,665.0,1.7404,1.1044,1.5979,-0.4481,0.636
22805099999,VALAAM,Russia,0,666.0,2.7128,1.7008,2.5209,-0.4573,1.0119
22820099999,PETROZAVODSK,Russia,2,666.0,1.5457,0.8268,1.7242,-0.0075,0.7189
22831099999,PUDOZ,Russia,2,666.0,1.8122,0.8928,2.0914,-0.2989,0.9194
22837099999,VYTEGRA,Russia,2,664.0,1.5778,1.0729,1.8523,-0.4402,0.5049
22845099999,KARGOPOL',Russia,2,665.0,1.1613,0.7275,1.4346,-0.3405,0.4338
22892099999,VYBORG,Russia,4,666.0,1.2897,0.742,1.3823,-0.2049,0.5478
22912099999,OLONEC,Russia,2,666.0,1.9364,0.9327,2.1793,-0.3216,1.0037
22913099999,LODEJNOE POLE,Russia,2,666.0,1.5521,0.8404,1.958,-0.2079,0.7117
22917099999,NOVAJA LADOGA,Russia,3,665.0,1.4765,0.8534,1.7161,-0.2119,0.6232
22925099999,VINNICY,Russia,2,666.0,1.2374,0.7926,1.6495,-0.4053,0.4448
22939099999,BELOZERSK,Russia,2,665.0,1.6248,0.7635,1.5362,-0.1189,0.8614
26038099999,LENNART MERI TALLINN,Estonia,1,640.0,1.2681,1.3742,1.3827,0.1105,-0.1061
26038199999,PARNU,Estonia,1,640.0,1.8661,2.1635,1.7465,-0.1766,-0.2974
26045099999,KUNDA,Estonia,1,639.0,1.6533,1.4844,1.7318,-0.3515,0.1689
26046099999,JOHVI,Estonia,1,638.0,1.1966,0.8307,1.3582,-0.1744,0.3659
26058099999,NARVA-JOESUU,Estonia,1,630.0,1.9292,0.8932,1.9316,-0.0897,1.036
26059099999,KINGISEPP,Russia,1,641.0,1.1838,0.7773,1.3707,-0.4143,0.4065
26063099999,PULKOVO,Russia,3,643.0,2.2292,1.9247,2.2115,-1.2012,0.3045
26069099999,BELOGORKA,Russia,3,643.0,1.2666,0.8293,1.492,-0.2147,0.4373
26072099999,SHLISSEL'BURG,Russia,3,643.0,1.4274,0.8297,1.4713,-0.2642,0.5978
26078099999,LJUBAN',Russia,3,642.0,1.3067,1.0444,1.4926,-0.4043,0.2623
26080099999,KIRISHI,Russia,3,643.0,1.2515,0.9443,1.3353,-0.6061,0.3072
26094099999,TIHVIN,Russia,2,643.0,1.1953,0.7169,1.4449,-0.2928,0.4784
26099099999,EFIMOVSKAJA,Russia,2,639.0,1.2869,0.8156,1.5901,-0.278,0.4713
26134099999,KUUSIKU,Estonia,1,639.0,1.0932,0.979,1.2334,-0.3272,0.1142
26135099999,TURI,Estonia,1,639.0,1.0042,0.8545,1.1804,-0.2922,0.1496
26141099999,VALKE-MAARJA,Estonia,1,623.0,1.1463,0.981,1.2375,-0.3912,0.1653
26144099999,JOGEVA,Estonia,1,640.0,1.2108,1.096,1.4073,-0.395,0.1148
26145099999,TILRIKOJA,Estonia,1,637.0,1.5417,1.7621,1.7942,0.0819,-0.2203
26157099999,GDOV,Russia,1,642.0,1.853,0.8014,1.9182,-0.2107,1.0516
26167099999,NIKOLAEVSKOE,Russia,3,643.0,1.1187,0.7421,1.1607,-0.3202,0.3766
26179099999,NOVGOROD,Russia,3,642.0,1.3491,0.8983,1.4191,-0.329,0.4508
26233099999,VILJANDI,Estonia,1,640.0,0.9838,0.9444,1.2401,-0.362,0.0395
26242099999,TARTU,Estonia,1,637.0,0.9199,1.1234,1.1683,-0.437,-0.2035
26258099999,PSKOV,Russia,1,643.0,1.1623,0.8175,1.364,-0.3717,0.3449
