lead_h,source,n,bias,rmse
0,aifs,51187,-0.0883,1.506
0,era5,51187,0.0252,1.4758
0,cerra,51187,-0.2801,1.0759
24,aifs,51104,-0.1222,1.6638
24,era5,51104,0.025,1.4751
24,cerra,51104,-0.2808,1.0749
48,aifs,50938,-0.1431,1.8056
48,era5,50938,0.0256,1.4752
48,cerra,50938,-0.2812,1.0744
72,aifs,50772,-0.1529,2.0142
72,era5,50772,0.0255,1.4767
72,cerra,50772,-0.282,1.0749
120,aifs,50440,-0.2333,2.6072
120,era5,50440,0.0256,1.4777
120,cerra,50440,-0.2828,1.0758
168,aifs,50109,-0.3856,3.347
168,era5,50109,0.0261,1.4784
168,cerra,50109,-0.2839,1.0766
